onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
16.0,18.0,65,F4,2.0,0,5,1.0,violin1
18.0,20.5,65,F4,2.5,0,5,3.0,violin1
20.5,21.0,63,E-4,0.5,0,6,1.5,violin1
21.0,24.0,65,F4,3.0,0,6,2.0,violin1
24.0,26.0,65,F4,2.0,0,7,1.0,violin1
26.0,28.0,61,D-4,2.0,0,7,3.0,violin1
28.0,32.0,60,C4,4.0,0,8,1.0,violin1
32.0,36.0,61,D-4,4.0,0,9,1.0,violin1
36.0,37.0,61,D-4,1.0,0,10,1.0,violin1
37.0,40.0,56,A-3,3.0,0,10,2.0,violin1
40.0,48.0,61,D-4,8.0,0,11,1.0,violin1
48.0,56.0,61,D-4,8.0,0,13,1.0,violin1
56.0,58.5,61,D-4,2.5,0,15,1.0,violin1
58.5,59.0,56,A-3,0.5,0,15,3.5,violin1
59.0,59.5,65,F4,0.5,0,15,4.0,violin1
59.5,60.0,61,D-4,0.5,0,15,4.5,violin1
60.0,64.0,60,C4,4.0,0,16,1.0,violin1
64.0,65.0,65,F4,1.0,0,17,1.0,violin1
65.0,66.0,63,E-4,1.0,0,17,2.0,violin1
66.0,67.0,61,D-4,1.0,0,17,3.0,violin1
67.0,68.0,68,A-4,1.0,0,17,4.0,violin1
68.0,69.5,66,G-4,1.5,0,18,1.0,violin1
68.0,69.5,70,B-4,1.5,0,18,1.0,violin1
69.5,70.0,66,G-4,0.5,0,18,2.5,violin1
70.0,72.0,65,F4,2.0,0,18,3.0,violin1
102.0,104.75,77,F5,2.75,0,26,3.0,violin1
104.75,105.0,80,A-5,0.25,0,27,1.75,violin1
105.0,106.0,80,A-5,1.0,0,27,2.0,violin1
106.0,106.5,78,G-5,0.5,0,27,3.0,violin1
106.5,107.0,75,E-5,0.5,0,27,3.5,violin1
107.0,108.0,77,F5,1.0,0,27,4.0,violin1
108.0,108.5,73,D-5,0.5,0,28,1.0,violin1
108.5,109.0,77,F5,0.5,0,28,1.5,violin1
109.0,109.5,75,E-5,0.5,0,28,2.0,violin1
109.5,110.0,72,C5,0.5,0,28,2.5,violin1
110.0,112.0,73,D-5,2.0,0,28,3.0,violin1
112.0,112.75,77,F5,0.75,0,29,1.0,violin1
112.75,113.0,80,A-5,0.25,0,29,1.75,violin1
113.0,114.0,80,A-5,1.0,0,29,2.0,violin1
114.0,114.5,78,G-5,0.5,0,29,3.0,violin1
114.5,115.0,75,E-5,0.5,0,29,3.5,violin1
115.0,116.0,77,F5,1.0,0,29,4.0,violin1
116.0,116.5,73,D-5,0.5,0,30,1.0,violin1
116.5,117.0,77,F5,0.5,0,30,1.5,violin1
117.0,117.5,75,E-5,0.5,0,30,2.0,violin1
117.5,118.0,72,C5,0.5,0,30,2.5,violin1
118.0,120.0,73,D-5,2.0,0,30,3.0,violin1
120.0,120.5,73,D-5,0.5,0,31,1.0,violin1
120.5,121.0,77,F5,0.5,0,31,1.5,violin1
121.0,121.5,75,E-5,0.5,0,31,2.0,violin1
121.5,122.0,72,C5,0.5,0,31,2.5,violin1
122.0,124.0,73,D-5,2.0,0,31,3.0,violin1
124.0,124.5,73,D-5,0.5,0,32,1.0,violin1
124.5,125.0,77,F5,0.5,0,32,1.5,violin1
125.0,125.5,75,E-5,0.5,0,32,2.0,violin1
125.5,126.0,72,C5,0.5,0,32,2.5,violin1
126.0,126.5,73,D-5,0.5,0,32,3.0,violin1
126.5,127.0,70,B-4,0.5,0,32,3.5,violin1
127.0,127.5,72,C5,0.5,0,32,4.0,violin1
127.5,128.0,68,A-4,0.5,0,32,4.5,violin1
128.0,128.5,73,D-5,0.5,0,33,1.0,violin1
128.5,129.0,77,F5,0.5,0,33,1.5,violin1
129.0,129.5,75,E-5,0.5,0,33,2.0,violin1
129.5,130.0,72,C5,0.5,0,33,2.5,violin1
130.0,130.5,73,D-5,0.5,0,33,3.0,violin1
130.5,131.0,70,B-4,0.5,0,33,3.5,violin1
131.0,131.5,72,C5,0.5,0,33,4.0,violin1
131.5,132.0,68,A-4,0.5,0,33,4.5,violin1
132.0,132.5,73,D-5,0.5,0,34,1.0,violin1
132.5,133.0,70,B-4,0.5,0,34,1.5,violin1
133.0,133.5,72,C5,0.5,0,34,2.0,violin1
133.5,134.0,68,A-4,0.5,0,34,2.5,violin1
134.0,137.0,73,D-5,3.0,0,35,1.0,violin1
137.0,137.5,71,C-5,0.5,0,35,4.0,violin1
137.5,138.0,69,B--4,0.5,0,35,4.5,violin1
138.0,144.5,68,A-4,6.5,0,36,1.0,violin1
144.5,146.0,60,C4,1.5,0,37,3.5,violin1
146.0,146.5,61,D-4,0.5,0,38,1.0,violin1
146.5,147.0,65,F4,0.5,0,38,1.5,violin1
147.0,148.0,63,E-4,1.0,0,38,2.0,violin1
148.0,149.0,61,D-4,1.0,0,38,3.0,violin1
149.0,150.0,68,A-4,1.0,0,38,4.0,violin1
150.0,152.0,66,G-4,2.0,0,39,1.0,violin1
150.0,152.0,70,B-4,2.0,0,39,1.0,violin1
152.0,154.0,68,A-4,2.0,0,39,3.0,violin1
158.0,159.5,75,E-5,1.5,0,41,1.0,violin1
159.5,160.0,73,D-5,0.5,0,41,2.5,violin1
160.0,161.0,75,E-5,1.0,0,41,3.0,violin1
161.0,162.0,70,B-4,1.0,0,41,4.0,violin1
162.0,164.0,73,D-5,2.0,0,42,1.0,violin1
164.0,166.0,68,A-4,2.0,0,42,3.0,violin1
166.0,168.0,73,D-5,2.0,0,43,1.0,violin1
168.0,171.0,68,A-4,3.0,0,43,3.0,violin1
210.0,210.125,64,E4,0.125,0,54,1.0,violin1
210.125,210.25,68,G#4,0.125,0,54,1.125,violin1
210.25,210.375,64,E4,0.125,0,54,1.25,violin1
