phrase onset,phrase offset,section,theme
0,121.5,A,a
121,177,A,a
177,298.5,A,a
298,354,A,a
354,378.5,A,b
378,426,A,b
426,471,A,b
471,543.5,A,a'
543,600,A,a'
600,671,A,transition
671,703,A,transition
703,726,B,c
726,750,B,c
750,774,B,c
774,798,B,c
797,822,B,d
822,846,B,d
846,892,B,d
891,915,B,c'
915,939,B,c'
939,963,B,d
963,987,B,d
987,1033,B,d
1032,1056,B,c'
1056,1080,B,c'
1080,1108,B,transition
1107,1228.5,A,a
1228,1284,A,a
1284,1308.5,A,b
1308,1356,A,b
1356,1401,A,b
1401,1474,A,a'
1473,1527,A,a'
1530,1684,Coda,Coda
