onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,1.0,52,E3,1.0,0,1,1.0,doublebass
6.0,7.0,47,B2,1.0,0,3,1.0,doublebass
12.0,12.5,52,E3,0.5,0,5,1.0,doublebass
12.5,13.0,52,E3,0.5,0,5,1.5,doublebass
13.0,15.0,52,E3,2.0,0,5,2.0,doublebass
15.0,15.5,47,B2,0.5,0,6,1.0,doublebass
15.5,16.0,47,B2,0.5,0,6,1.5,doublebass
16.0,21.0,47,B2,5.0,0,6,2.0,doublebass
21.0,60.0,47,B2,39.0,0,8,1.0,doublebass
97.0,97.5,35,B1,0.5,0,33,2.0,doublebass
97.5,98.0,35,B1,0.5,0,33,2.5,doublebass
98.0,99.0,31,G1,1.0,0,33,3.0,doublebass
99.0,100.0,35,B1,1.0,0,34,1.0,doublebass
100.0,101.0,35,B1,1.0,0,34,2.0,doublebass
101.0,102.0,31,G1,1.0,0,34,3.0,doublebass
102.0,102.5,35,B1,0.5,0,35,1.0,doublebass
102.5,103.0,35,B1,0.5,0,35,1.5,doublebass
103.0,104.0,31,G1,1.0,0,35,2.0,doublebass
104.0,105.0,39,E-2,1.0,0,35,3.0,doublebass
105.0,106.0,40,E2,1.0,0,36,1.0,doublebass
106.0,107.0,39,E-2,1.0,0,36,2.0,doublebass
107.0,108.0,40,E2,1.0,0,36,3.0,doublebass
108.0,109.0,43,G2,1.0,0,37,1.0,doublebass
109.0,109.5,47,B2,0.5,0,37,2.0,doublebass
109.5,110.0,47,B2,0.5,0,37,2.5,doublebass
110.0,111.0,43,G2,1.0,0,37,3.0,doublebass
111.0,112.0,47,B2,1.0,0,38,1.0,doublebass
112.0,113.0,47,B2,1.0,0,38,2.0,doublebass
113.0,114.0,43,G2,1.0,0,38,3.0,doublebass
114.0,114.5,47,B2,0.5,0,39,1.0,doublebass
114.5,115.0,47,B2,0.5,0,39,1.5,doublebass
115.0,116.0,43,G2,1.0,0,39,2.0,doublebass
116.0,117.0,51,E-3,1.0,0,39,3.0,doublebass
117.0,118.0,47,B2,1.0,0,40,1.0,doublebass
118.0,119.0,51,E-3,1.0,0,40,2.0,doublebass
119.0,120.0,47,B2,1.0,0,40,3.0,doublebass
120.0,121.0,51,E-3,1.0,0,41,1.0,doublebass
121.0,122.0,52,E3,1.0,0,41,2.0,doublebass
122.0,123.0,40,E2,1.0,0,41,3.0,doublebass
122.0,123.0,28,E1,1.0,0,41,3.0,doublebass
123.0,124.0,40,E2,1.0,0,42,1.0,doublebass
123.0,124.0,28,E1,1.0,0,42,1.0,doublebass
124.0,125.0,40,E2,1.0,0,42,2.0,doublebass
124.0,125.0,28,E1,1.0,0,42,2.0,doublebass
125.0,126.0,40,E2,1.0,0,42,3.0,doublebass
125.0,126.0,28,E1,1.0,0,42,3.0,doublebass
