onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
144.0,145.0,64,G---4,1.0,0,49,1.0,trumpet2
146.0,147.0,64,G---4,1.0,0,49,3.0,trumpet2
148.0,148.5,64,G---4,0.5,0,50,2.0,trumpet2
148.5,149.0,64,G---4,0.5,0,50,2.5,trumpet2
149.0,150.0,64,G---4,1.0,0,50,3.0,trumpet2
150.0,151.0,64,G---4,1.0,0,51,1.0,trumpet2
152.0,153.0,64,G---4,1.0,0,51,3.0,trumpet2
154.0,154.5,64,G---4,0.5,0,52,2.0,trumpet2
154.5,155.0,64,G---4,0.5,0,52,2.5,trumpet2
155.0,156.0,64,G---4,1.0,0,52,3.0,trumpet2
156.0,157.0,64,G---4,1.0,0,53,1.0,trumpet2
158.0,159.0,64,G---4,1.0,0,53,3.0,trumpet2
160.0,160.5,64,G---4,0.5,0,54,2.0,trumpet2
160.5,161.0,64,G---4,0.5,0,54,2.5,trumpet2
161.0,162.0,64,G---4,1.0,0,54,3.0,trumpet2
162.0,163.0,64,G---4,1.0,0,55,1.0,trumpet2
164.0,165.0,64,G---4,1.0,0,55,3.0,trumpet2
165.0,165.5,64,G---4,0.5,0,56,1.0,trumpet2
165.5,166.0,64,G---4,0.5,0,56,1.5,trumpet2
166.0,167.0,64,G---4,1.0,0,56,2.0,trumpet2
167.0,168.0,64,G---4,1.0,0,56,3.0,trumpet2
168.0,168.5,64,G---4,0.5,0,57,1.0,trumpet2
168.5,169.0,64,G---4,0.5,0,57,1.5,trumpet2
169.0,170.0,64,G---4,1.0,0,57,2.0,trumpet2
170.0,171.0,64,G---4,1.0,0,57,3.0,trumpet2
171.0,171.5,64,G---4,0.5,0,58,1.0,trumpet2
171.5,172.0,64,G---4,0.5,0,58,1.5,trumpet2
172.0,173.0,64,G---4,1.0,0,58,2.0,trumpet2
173.0,174.0,64,G---4,1.0,0,58,3.0,trumpet2
174.0,175.0,64,G---4,1.0,0,59,1.0,trumpet2
321.0,322.0,64,G---4,1.0,0,108,1.0,trumpet2
323.0,324.0,64,G---4,1.0,0,108,3.0,trumpet2
325.0,325.5,64,G---4,0.5,0,109,2.0,trumpet2
325.5,326.0,64,G---4,0.5,0,109,2.5,trumpet2
326.0,327.0,64,G---4,1.0,0,109,3.0,trumpet2
327.0,328.0,64,G---4,1.0,0,110,1.0,trumpet2
329.0,330.0,64,G---4,1.0,0,110,3.0,trumpet2
331.0,331.5,64,G---4,0.5,0,111,2.0,trumpet2
331.5,332.0,64,G---4,0.5,0,111,2.5,trumpet2
332.0,333.0,64,G---4,1.0,0,111,3.0,trumpet2
333.0,334.0,64,G---4,1.0,0,112,1.0,trumpet2
335.0,336.0,64,G---4,1.0,0,112,3.0,trumpet2
337.0,337.5,64,G---4,0.5,0,113,2.0,trumpet2
337.5,338.0,64,G---4,0.5,0,113,2.5,trumpet2
338.0,339.0,64,G---4,1.0,0,113,3.0,trumpet2
339.0,340.0,64,G---4,1.0,0,114,1.0,trumpet2
341.0,342.0,64,G---4,1.0,0,114,3.0,trumpet2
342.0,342.5,64,G---4,0.5,0,115,1.0,trumpet2
342.5,343.0,64,G---4,0.5,0,115,1.5,trumpet2
343.0,344.0,64,G---4,1.0,0,115,2.0,trumpet2
344.0,345.0,64,G---4,1.0,0,115,3.0,trumpet2
345.0,345.5,64,G---4,0.5,0,116,1.0,trumpet2
345.5,346.0,64,G---4,0.5,0,116,1.5,trumpet2
346.0,347.0,64,G---4,1.0,0,116,2.0,trumpet2
347.0,348.0,64,G---4,1.0,0,116,3.0,trumpet2
348.0,348.5,64,G---4,0.5,0,117,1.0,trumpet2
348.5,349.0,64,G---4,0.5,0,117,1.5,trumpet2
349.0,350.0,64,G---4,1.0,0,117,2.0,trumpet2
350.0,351.0,64,G---4,1.0,0,117,3.0,trumpet2
351.0,352.0,64,G---4,1.0,0,118,1.0,trumpet2
451.0,452.0,59,D---4,1.0,0,151,2.0,trumpet2
454.0,455.0,59,D---4,1.0,0,152,2.0,trumpet2
457.0,458.0,59,D---4,1.0,0,153,2.0,trumpet2
460.0,461.0,59,D---4,1.0,0,154,2.0,trumpet2
463.0,464.0,59,D---4,1.0,0,155,2.0,trumpet2
466.0,467.0,59,D---4,1.0,0,156,2.0,trumpet2
469.0,470.0,59,D---4,1.0,0,157,2.0,trumpet2
532.0,538.0,66,A---4,6.0,0,178,2.0,trumpet2
543.0,546.0,64,G---4,3.0,0,182,1.0,trumpet2
547.0,547.5,64,G---4,0.5,0,183,2.0,trumpet2
547.5,548.0,64,G---4,0.5,0,183,2.5,trumpet2
548.0,549.0,64,G---4,1.0,0,183,3.0,trumpet2
549.0,550.0,64,G---4,1.0,0,184,1.0,trumpet2
550.0,551.0,64,G---4,1.0,0,184,2.0,trumpet2
553.0,554.0,64,G---4,1.0,0,185,2.0,trumpet2
554.0,555.0,64,G---4,1.0,0,185,3.0,trumpet2
555.0,555.5,64,G---4,0.5,0,186,1.0,trumpet2
555.5,556.0,64,G---4,0.5,0,186,1.5,trumpet2
556.0,557.0,64,G---4,1.0,0,186,2.0,trumpet2
559.0,559.5,64,G---4,0.5,0,187,2.0,trumpet2
559.5,560.0,64,G---4,0.5,0,187,2.5,trumpet2
560.0,561.0,64,G---4,1.0,0,187,3.0,trumpet2
561.0,562.0,64,G---4,1.0,0,188,1.0,trumpet2
562.0,563.0,64,G---4,1.0,0,188,2.0,trumpet2
564.0,565.0,64,G---4,1.0,0,189,1.0,trumpet2
565.0,565.5,64,G---4,0.5,0,189,2.0,trumpet2
565.5,566.0,64,G---4,0.5,0,189,2.5,trumpet2
566.0,567.0,64,G---4,1.0,0,189,3.0,trumpet2
567.0,568.0,64,G---4,1.0,0,190,1.0,trumpet2
568.0,568.5,64,G---4,0.5,0,190,2.0,trumpet2
568.5,569.0,64,G---4,0.5,0,190,2.5,trumpet2
569.0,570.0,64,G---4,1.0,0,190,3.0,trumpet2
570.0,571.0,64,G---4,1.0,0,191,1.0,trumpet2
571.0,571.5,64,G---4,0.5,0,191,2.0,trumpet2
571.5,572.0,64,G---4,0.5,0,191,2.5,trumpet2
