onset,offset,role
0,12,rhythm+harm
21,60,rhythm
60,85,rhythm
97,121,mel
121,144,mel
144,153,harm
153,156,mel
156,165,harm
165,177,mel
177,189,rhythm+harm
198,237,rhythm
237,262,rhythm
274,298,mel
298,321,mel
321,330,harm
330,333,mel
333,342,harm
342,354,mel
354,357,rhythm
357,360,mel
366,378,rhythm
378,451,rhythm+harm
471,495,rhythm
495,543,mel
543,576,mel
576,600,mel
609,615,mel
656,670,mel
690,698,harm
701,797,mel+rhythm
797,822,mel
846,858,rhythm
858,867,mel
867,870,mel
873,876,mel
879,882,mel
885,888,mel
891,939,mel+rhythm
939,963,mel
987,999,rhythm
999,1008,mel
1008,1011,mel
1014,1017,mel
1020,1023,mel
1026,1029,mel
1032,1080,mel+rhythm
1080,1107,rhythm+harm
1107,1119,rhythm+harm
1128,1167,rhythm
1167,1192,rhythm
1204,1228,mel
1228,1251,mel
1251,1260,harm
1260,1263,mel
1263,1272,harm
1272,1284,mel
1284,1287,rhythm
1287,1290,mel
1296,1308,rhythm
1308,1381,rhythm+harm
1401,1425,rhythm
1425,1473,mel
1473,1506,mel
1506,1530,mel
1530,1596,harm
1596,1626,harm
1626,1638,mel
1683,1684,rhythm
