onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
29.0,30.0,39,E-2,1.0,0,8,2.0,bassoon2
30.0,31.0,37,D-2,1.0,0,8,3.0,bassoon2
31.0,32.0,37,D-2,1.0,0,8,4.0,bassoon2
32.0,32.5,36,C2,0.5,0,9,1.0,bassoon2
32.5,33.0,35,B1,0.5,0,9,1.5,bassoon2
33.0,33.5,36,C2,0.5,0,9,2.0,bassoon2
33.5,34.0,35,B1,0.5,0,9,2.5,bassoon2
34.0,34.5,36,C2,0.5,0,9,3.0,bassoon2
34.5,35.0,35,B1,0.5,0,9,3.5,bassoon2
35.0,35.5,48,C3,0.5,0,9,4.0,bassoon2
35.5,36.0,47,B2,0.5,0,9,4.5,bassoon2
36.0,37.0,40,E2,1.0,0,10,1.0,bassoon2
40.0,41.0,45,A2,1.0,0,11,1.0,bassoon2
44.0,45.0,40,E2,1.0,0,12,1.0,bassoon2
46.0,47.0,47,B2,1.0,0,12,3.0,bassoon2
48.0,49.0,40,E2,1.0,0,13,1.0,bassoon2
52.0,53.0,40,E2,1.0,0,14,1.0,bassoon2
56.0,57.0,45,A2,1.0,0,15,1.0,bassoon2
60.0,61.0,43,G2,1.0,0,16,1.0,bassoon2
62.0,63.0,42,F#2,1.0,0,16,3.0,bassoon2
64.0,66.5,40,E2,2.5,0,17,1.0,bassoon2
68.0,69.0,40,E2,1.0,0,18,1.0,bassoon2
72.0,73.0,45,A2,1.0,0,19,1.0,bassoon2
76.0,77.0,40,E2,1.0,0,20,1.0,bassoon2
78.0,79.0,43,G2,1.0,0,20,3.0,bassoon2
80.0,81.0,40,E2,1.0,0,21,1.0,bassoon2
84.0,85.0,40,E2,1.0,0,22,1.0,bassoon2
88.0,89.0,45,A2,1.0,0,23,1.0,bassoon2
92.0,93.0,43,G2,1.0,0,24,1.0,bassoon2
94.0,95.0,42,F#2,1.0,0,24,3.0,bassoon2
96.0,98.5,40,E2,2.5,0,25,1.0,bassoon2
131.0,132.0,59,B3,1.0,0,33,4.0,bassoon2
132.0,134.0,64,E4,2.0,0,34,1.0,bassoon2
134.0,135.0,66,F#4,1.0,0,34,3.0,bassoon2
135.0,136.0,67,G4,1.0,0,34,4.0,bassoon2
136.0,137.5,66,F#4,1.5,0,35,1.0,bassoon2
137.5,138.0,64,E4,0.5,0,35,2.5,bassoon2
138.0,140.0,64,E4,2.0,0,35,3.0,bassoon2
140.0,142.0,64,E4,2.0,0,36,1.0,bassoon2
142.0,143.0,62,D4,1.0,0,36,3.0,bassoon2
143.0,143.5,59,B3,0.5,0,36,4.0,bassoon2
143.5,144.0,62,D4,0.5,0,36,4.5,bassoon2
144.0,147.0,64,E4,3.0,0,37,1.0,bassoon2
147.0,148.0,64,E4,1.0,0,37,4.0,bassoon2
148.0,150.0,64,E4,2.0,0,38,1.0,bassoon2
150.0,151.0,66,F#4,1.0,0,38,3.0,bassoon2
151.0,152.0,67,G4,1.0,0,38,4.0,bassoon2
152.0,154.0,60,C4,2.0,0,39,1.0,bassoon2
154.0,156.0,55,G3,2.0,0,39,3.0,bassoon2
156.0,158.0,57,A3,2.0,0,40,1.0,bassoon2
158.0,159.0,57,A3,1.0,0,40,3.0,bassoon2
159.0,160.0,59,B3,1.0,0,40,4.0,bassoon2
160.0,162.0,57,A3,2.0,0,41,1.0,bassoon2
162.0,163.0,57,A3,1.0,0,41,3.0,bassoon2
163.0,164.0,59,B3,1.0,0,41,4.0,bassoon2
164.0,165.0,57,A3,1.0,0,42,1.0,bassoon2
165.0,165.5,57,A3,0.5,0,42,2.0,bassoon2
165.5,166.0,59,B3,0.5,0,42,2.5,bassoon2
166.0,167.0,57,A3,1.0,0,42,3.0,bassoon2
167.0,167.5,57,A3,0.5,0,42,4.0,bassoon2
167.5,168.0,59,B3,0.5,0,42,4.5,bassoon2
168.0,169.0,57,A3,1.0,0,43,1.0,bassoon2
169.0,169.5,57,A3,0.5,0,43,2.0,bassoon2
169.5,170.0,59,B3,0.5,0,43,2.5,bassoon2
170.0,170.5,57,A3,0.5,0,43,3.0,bassoon2
170.5,171.0,59,B3,0.5,0,43,3.5,bassoon2
171.0,171.5,57,A3,0.5,0,43,4.0,bassoon2
171.5,172.0,59,B3,0.5,0,43,4.5,bassoon2
172.0,176.0,43,G2,4.0,0,44,1.0,bassoon2
176.0,177.0,40,E2,1.0,0,45,1.0,bassoon2
177.0,178.0,42,F#2,1.0,0,45,2.0,bassoon2
178.0,179.0,43,G2,1.0,0,45,3.0,bassoon2
179.0,180.0,45,A2,1.0,0,45,4.0,bassoon2
180.0,182.0,42,F#2,2.0,0,46,1.0,bassoon2
182.0,182.5,38,D2,0.5,0,46,3.0,bassoon2
184.0,188.0,43,G2,4.0,0,47,1.0,bassoon2
188.0,189.0,40,E2,1.0,0,48,1.0,bassoon2
189.0,190.0,42,F#2,1.0,0,48,2.0,bassoon2
190.0,191.0,43,G2,1.0,0,48,3.0,bassoon2
191.0,192.0,45,A2,1.0,0,48,4.0,bassoon2
192.0,192.5,43,G2,0.5,0,49,1.0,bassoon2
192.5,193.0,47,B2,0.5,0,49,1.5,bassoon2
193.0,193.5,47,B2,0.5,0,49,2.0,bassoon2
193.5,194.0,35,B1,0.5,0,49,2.5,bassoon2
194.0,194.5,40,E2,0.5,0,49,3.0,bassoon2
196.0,197.0,63,D#4,1.0,0,50,1.0,bassoon2
197.0,198.0,64,E4,1.0,0,50,2.0,bassoon2
198.0,199.0,62,D4,1.0,0,50,3.0,bassoon2
199.0,200.0,60,C4,1.0,0,50,4.0,bassoon2
200.0,201.0,59,B3,1.0,0,51,1.0,bassoon2
201.0,202.0,57,A3,1.0,0,51,2.0,bassoon2
202.0,203.0,55,G3,1.0,0,51,3.0,bassoon2
203.0,203.5,54,F#3,0.5,0,51,4.0,bassoon2
203.5,204.0,59,B3,0.5,0,51,4.5,bassoon2
204.0,205.0,63,D#4,1.0,0,52,1.0,bassoon2
205.0,206.0,64,E4,1.0,0,52,2.0,bassoon2
206.0,207.0,62,D4,1.0,0,52,3.0,bassoon2
207.0,208.0,60,C4,1.0,0,52,4.0,bassoon2
208.0,209.0,59,B3,1.0,0,53,1.0,bassoon2
209.0,210.0,57,A3,1.0,0,53,2.0,bassoon2
210.0,211.0,55,G3,1.0,0,53,3.0,bassoon2
211.0,212.0,54,F#3,1.0,0,53,4.0,bassoon2
212.0,212.5,55,G3,0.5,0,54,1.0,bassoon2
213.0,216.0,43,G2,3.0,0,54,2.0,bassoon2
216.0,217.0,40,E2,1.0,0,55,1.0,bassoon2
217.0,218.0,42,F#2,1.0,0,55,2.0,bassoon2
218.0,219.0,43,G2,1.0,0,55,3.0,bassoon2
219.0,220.0,45,A2,1.0,0,55,4.0,bassoon2
220.0,222.0,42,F#2,2.0,0,56,1.0,bassoon2
222.0,222.5,38,D2,0.5,0,56,3.0,bassoon2
224.0,228.0,43,G2,4.0,0,57,1.0,bassoon2
228.0,232.0,52,E3,4.0,0,58,1.0,bassoon2
232.0,236.0,50,D3,4.0,0,59,1.0,bassoon2
236.0,236.5,49,C#3,0.5,0,60,1.0,bassoon2
237.0,238.0,58,B-3,1.0,0,60,2.0,bassoon2
239.0,240.0,55,G3,1.0,0,60,4.0,bassoon2
241.0,242.0,49,C#3,1.0,0,61,2.0,bassoon2
242.0,242.3333333333333,55,G3,0.3333333333333333,0,61,3.0,bassoon2
242.3333333333333,242.66666666666669,55,G3,0.3333333333333333,0,61,3.333333333333333,bassoon2
242.66666666666663,243.0,55,G3,0.3333333333333333,0,61,3.6666666666666665,bassoon2
245.0,245.3333333333333,55,G3,0.3333333333333333,0,62,2.0,bassoon2
245.3333333333333,245.66666666666669,55,G3,0.3333333333333333,0,62,2.333333333333333,bassoon2
245.66666666666663,246.0,55,G3,0.3333333333333333,0,62,2.6666666666666665,bassoon2
247.0,247.3333333333333,55,G3,0.3333333333333333,0,62,4.0,bassoon2
247.3333333333333,247.66666666666669,55,G3,0.3333333333333333,0,62,4.333333333333333,bassoon2
247.66666666666663,248.0,55,G3,0.3333333333333333,0,62,4.666666666666667,bassoon2
249.0,249.3333333333333,55,G3,0.3333333333333333,0,63,2.0,bassoon2
249.3333333333333,249.66666666666669,55,G3,0.3333333333333333,0,63,2.333333333333333,bassoon2
249.66666666666663,250.0,55,G3,0.3333333333333333,0,63,2.6666666666666665,bassoon2
251.0,251.3333333333333,55,G3,0.3333333333333333,0,63,4.0,bassoon2
251.3333333333333,251.66666666666669,55,G3,0.3333333333333333,0,63,4.333333333333333,bassoon2
251.66666666666663,252.0,55,G3,0.3333333333333333,0,63,4.666666666666667,bassoon2
256.5,257.0,43,G2,0.5,0,65,1.5,bassoon2
257.0,257.5,46,B-2,0.5,0,65,2.0,bassoon2
257.5,258.0,49,C#3,0.5,0,65,2.5,bassoon2
258.0,258.5,52,E3,0.5,0,65,3.0,bassoon2
