onset,offset,role
32,36,rhythm+harm
36,64,rhythm+harm
64,68,rhythm
68,96,rhythm+harm
96,100,rhythm
132,164,rhythm+harm
164,172,rhythm
172,196,rhythm+harm
196,212,rhythm
212,236,rhythm+harm
236,244,rhythm
268,272,rhythm
284,288,rhythm
360,364,rhythm
364,396,rhythm
396,412,rhythm+harm
412,420,rhythm
508,556,rhythm
660,669,rhythm
700,708,rhythm
724,732,rhythm
828,836,rhythm
836,852,rhythm+harm
860,877,rhythm
992,1033,rhythm
1080,1097,rhythm
1112,1120,rhythm
1120,1144,rhythm
1176,1192,rhythm
1192,1196,mel+rhythm
1200,1204,mel+rhythm
1216,1249,rhythm
1279,1305,rhythm
1312,1320,rhythm
1320,1344,rhythm
1344,1356,rhythm
1356,1373,rhythm
1376,1389,rhythm
