onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,1.0,48,C3,1.0,0,1,1.0,bassoon1
1.5,1.6666666666666667,43,G2,0.1666666666666666,0,1,2.5,bassoon1
1.6666666666666667,1.8333333333333333,45,A2,0.1666666666666666,0,1,2.6666666666666665,bassoon1
1.8333333333333333,2.0,47,B2,0.1666666666666666,0,1,2.833333333333333,bassoon1
2.0,3.0,48,C3,1.0,0,1,3.0,bassoon1
3.5,3.6666666666666665,43,G2,0.1666666666666666,0,1,4.5,bassoon1
3.6666666666666665,3.833333333333333,45,A2,0.1666666666666666,0,1,4.666666666666667,bassoon1
3.8333333333333335,4.0,47,B2,0.1666666666666666,0,1,4.833333333333333,bassoon1
4.0,5.0,48,C3,1.0,0,2,1.0,bassoon1
16.0,17.0,55,G3,1.0,0,5,1.0,bassoon1
17.5,17.666666666666668,50,D3,0.1666666666666666,0,5,2.5,bassoon1
17.666666666666668,17.833333333333336,52,E3,0.1666666666666666,0,5,2.6666666666666665,bassoon1
17.833333333333332,18.0,54,F#3,0.1666666666666666,0,5,2.833333333333333,bassoon1
18.0,19.0,55,G3,1.0,0,5,3.0,bassoon1
19.5,19.666666666666668,50,D3,0.1666666666666666,0,5,4.5,bassoon1
19.666666666666668,19.833333333333336,52,E3,0.1666666666666666,0,5,4.666666666666667,bassoon1
19.83333333333333,20.0,54,F#3,0.1666666666666666,0,5,4.833333333333333,bassoon1
20.0,21.0,55,G3,1.0,0,6,1.0,bassoon1
32.0,33.0,64,E4,1.0,0,9,1.0,bassoon1
33.0,33.75,64,E4,0.75,0,9,2.0,bassoon1
33.75,34.0,64,E4,0.25,0,9,2.75,bassoon1
34.0,35.0,64,E4,1.0,0,9,3.0,bassoon1
35.0,36.0,64,E4,1.0,0,9,4.0,bassoon1
36.0,37.0,65,F4,1.0,0,10,1.0,bassoon1
37.0,37.75,65,F4,0.75,0,10,2.0,bassoon1
37.75,38.0,65,F4,0.25,0,10,2.75,bassoon1
38.0,39.0,65,F4,1.0,0,10,3.0,bassoon1
39.0,40.0,65,F4,1.0,0,10,4.0,bassoon1
40.0,41.0,65,F4,1.0,0,11,1.0,bassoon1
41.0,41.75,65,F4,0.75,0,11,2.0,bassoon1
41.75,42.0,65,F4,0.25,0,11,2.75,bassoon1
42.0,43.0,65,F4,1.0,0,11,3.0,bassoon1
43.0,44.0,65,F4,1.0,0,11,4.0,bassoon1
44.0,45.0,64,E4,1.0,0,12,1.0,bassoon1
45.0,45.75,64,E4,0.75,0,12,2.0,bassoon1
45.75,46.0,64,E4,0.25,0,12,2.75,bassoon1
46.0,47.0,64,E4,1.0,0,12,3.0,bassoon1
47.0,48.0,64,E4,1.0,0,12,4.0,bassoon1
48.0,49.0,65,F4,1.0,0,13,1.0,bassoon1
49.0,49.75,65,F4,0.75,0,13,2.0,bassoon1
49.75,50.0,65,F4,0.25,0,13,2.75,bassoon1
50.0,51.0,65,F4,1.0,0,13,3.0,bassoon1
51.0,52.0,65,F4,1.0,0,13,4.0,bassoon1
52.0,53.0,65,F4,1.0,0,14,1.0,bassoon1
53.0,53.75,65,F4,0.75,0,14,2.0,bassoon1
53.75,54.0,65,F4,0.25,0,14,2.75,bassoon1
54.0,55.0,65,F4,1.0,0,14,3.0,bassoon1
55.0,56.0,65,F4,1.0,0,14,4.0,bassoon1
56.0,57.0,64,E4,1.0,0,15,1.0,bassoon1
58.0,59.0,62,D4,1.0,0,15,3.0,bassoon1
60.0,61.0,64,E4,1.0,0,16,1.0,bassoon1
62.0,63.0,62,D4,1.0,0,16,3.0,bassoon1
64.0,65.0,64,E4,1.0,0,17,1.0,bassoon1
65.0,65.5,55,G3,0.5,0,17,2.0,bassoon1
65.5,66.0,55,G3,0.5,0,17,2.5,bassoon1
66.0,66.5,60,C4,0.5,0,17,3.0,bassoon1
66.5,67.0,60,C4,0.5,0,17,3.5,bassoon1
67.0,67.5,55,G3,0.5,0,17,4.0,bassoon1
67.5,68.0,55,G3,0.5,0,17,4.5,bassoon1
68.0,68.5,60,C4,0.5,0,18,1.0,bassoon1
68.5,69.0,60,C4,0.5,0,18,1.5,bassoon1
69.0,69.5,55,G3,0.5,0,18,2.0,bassoon1
69.5,70.0,55,G3,0.5,0,18,2.5,bassoon1
70.0,70.5,52,E3,0.5,0,18,3.0,bassoon1
70.5,71.0,52,E3,0.5,0,18,3.5,bassoon1
71.0,71.5,48,C3,0.5,0,18,4.0,bassoon1
71.5,72.0,48,C3,0.5,0,18,4.5,bassoon1
72.0,73.0,55,G3,1.0,0,19,1.0,bassoon1
73.0,74.0,62,D4,1.0,0,19,2.0,bassoon1
75.0,76.0,64,E4,1.0,0,19,4.0,bassoon1
77.0,78.0,62,D4,1.0,0,20,2.0,bassoon1
79.0,80.0,64,E4,1.0,0,20,4.0,bassoon1
80.0,80.5,62,D4,0.5,0,21,1.0,bassoon1
