onset,offset,role
0,5,mel
16,21,mel
32,65,rhythm+harm
65,73,mel+rhythm
73,80,rhythm+harm
80,92,mel
100,107,harm
108,113,rhythm
116,120,mel
120,136,rhythm+harm
144,149,rhythm
151,184,mel
184,193,rhythm+harm
193,217,rhythm+harm
244,281,mel
320,344,mel
344,364,mel
364,372,rhythm+harm
372,384,mel
384,393,mel+rhythm
417,441,mel
441,449,mel
449,453,rhythm
453,461,mel
461,466,rhythm
466,480,rhythm+harm
480,485,mel
496,501,mel
512,545,rhythm+harm
545,553,mel+rhythm
553,560,rhythm+harm
560,572,mel
580,587,harm
588,593,rhythm
596,600,mel
600,616,rhythm+harm
624,629,rhythm
631,664,mel
664,673,rhythm+harm
673,697,rhythm+harm
724,761,mel
800,824,mel
824,844,mel
844,852,rhythm+harm
852,864,mel
864,873,mel+rhythm
897,921,mel
921,929,mel
929,933,rhythm
933,941,mel
941,946,rhythm
946,960,rhythm+harm
960,969,mel
1000,1009,mel
1012,1034,rhythm
1034,1057,harm
1059,1065,mel
1065,1089,rhythm+harm
1098,1105,rhythm
1120,1136,mel
1136,1161,harm
1161,1193,rhythm+harm
1193,1201,mel
1210,1216,rhythm
1216,1232,mel
1232,1237,mel
1248,1253,mel
1264,1296,rhythm+harm
1296,1304,mel+rhythm
1304,1312,rhythm+harm
1312,1324,mel
1324,1329,rhythm
1332,1339,harm
1340,1355,mel
1360,1372,rhythm
1376,1381,rhythm
1383,1424,mel
1424,1452,rhythm+harm
1474,1492,mel
1516,1537,mel
1552,1564,harm
1564,1576,mel
1576,1584,rhythm+harm
1584,1596,mel
1596,1604,rhythm+harm
1604,1616,harm
1616,1625,rhythm+harm
1664,1673,mel
1673,1681,mel
1681,1685,rhythm+harm
1685,1693,mel
1693,1701,mel
1702,1729,rhythm+harm
