onset,offset,role
0,5,mel
7,16,mel
16,21,mel
23,32,mel
32,65,mel+rhythm+harm
65,73,mel+rhythm
73,92,mel
92,144,mel
144,149,mel
151,184,mel
184,193,mel+rhythm
195,217,mel+rhythm+harm
220,316,mel
320,336,mel
336,344,rhythm
344,372,mel
372,384,rhythm
384,397,mel+rhythm
400,441,mel
441,449,mel+rhythm
449,453,mel
453,461,mel+rhythm
461,465,mel
465,480,mel
480,485,mel
487,496,mel
496,501,mel
503,512,mel
512,545,mel+rhythm+harm
545,553,mel+rhythm
553,572,mel
572,624,mel
624,629,mel
631,664,mel
664,673,mel+rhythm
675,697,mel+rhythm+harm
700,796,mel
800,816,mel
816,824,rhythm
824,852,mel
852,864,rhythm
864,877,mel+rhythm
880,921,mel
921,929,mel+rhythm
929,933,mel
933,941,mel+rhythm
941,945,mel
945,960,mel
968,1001,mel
1008,1065,mel
1065,1072,rhythm+harm
1072,1080,mel
1080,1084,rhythm+harm
1084,1097,mel
1104,1120,mel
1120,1125,mel
1127,1136,mel
1136,1157,mel
1160,1193,mel
1193,1200,mel+rhythm+harm
1200,1209,mel
1227,1232,mel
1232,1237,mel
1239,1248,mel
1248,1253,mel
1255,1264,mel
1264,1296,mel+rhythm+harm
1296,1304,mel+rhythm
1304,1324,mel
1324,1376,mel
1376,1381,mel
1383,1416,mel
1416,1425,mel+rhythm
1425,1452,mel+rhythm+harm
1452,1513,mel
1516,1548,mel
1552,1568,mel
1568,1576,mel+rhythm
1576,1584,rhythm+harm
1584,1596,mel
1596,1604,mel
1604,1616,rhythm
1616,1629,mel+rhythm
1632,1673,mel
1673,1681,mel+rhythm
1681,1685,mel
1685,1693,mel+rhythm
1693,1701,mel
1701,1712,mel
1712,1729,rhythm+harm
