onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
2.0,3.0,53,F3,1.0,0,1,3.0,violoncello
3.0,3.5,55,G3,0.5,0,2,1.0,violoncello
4.0,4.5,48,C3,0.5,0,2,2.0,violoncello
8.0,9.0,58,B-3,1.0,0,3,3.0,violoncello
9.0,9.5,57,A3,0.5,0,4,1.0,violoncello
10.0,10.5,45,A2,0.5,0,4,2.0,violoncello
16.0,17.0,49,C#3,1.0,0,6,2.0,violoncello
17.0,18.0,50,D3,1.0,0,6,3.0,violoncello
18.0,18.5,46,B-2,0.5,0,7,1.0,violoncello
18.5,19.0,46,B-2,0.5,0,7,1.5,violoncello
19.0,19.5,46,B-2,0.5,0,7,2.0,violoncello
19.5,20.0,46,B-2,0.5,0,7,2.5,violoncello
20.0,20.5,46,B-2,0.5,0,7,3.0,violoncello
20.5,21.0,46,B-2,0.5,0,7,3.5,violoncello
21.0,21.5,48,C3,0.5,0,8,1.0,violoncello
21.5,22.0,48,C3,0.5,0,8,1.5,violoncello
22.0,22.5,48,C3,0.5,0,8,2.0,violoncello
22.5,23.0,48,C3,0.5,0,8,2.5,violoncello
23.0,23.5,48,C3,0.5,0,8,3.0,violoncello
23.5,24.0,48,C3,0.5,0,8,3.5,violoncello
24.0,24.5,49,C#3,0.5,0,9,1.0,violoncello
24.5,25.0,49,C#3,0.5,0,9,1.5,violoncello
25.0,25.5,50,D3,0.5,0,9,2.0,violoncello
25.5,26.0,50,D3,0.5,0,9,2.5,violoncello
26.0,26.5,46,B-2,0.5,0,9,3.0,violoncello
26.5,27.0,46,B-2,0.5,0,9,3.5,violoncello
27.0,27.5,48,C3,0.5,0,10,1.0,violoncello
27.5,28.0,48,C3,0.5,0,10,1.5,violoncello
28.0,28.5,48,C3,0.5,0,10,2.0,violoncello
28.5,29.0,48,C3,0.5,0,10,2.5,violoncello
29.0,29.5,48,C3,0.5,0,10,3.0,violoncello
29.5,30.0,48,C3,0.5,0,10,3.5,violoncello
30.0,30.75,53,F3,0.75,0,11,1.0,violoncello
30.75,31.0,48,C3,0.25,0,11,1.75,violoncello
31.0,32.75,57,A3,1.75,0,11,2.0,violoncello
32.75,32.875,55,G3,0.125,0,11,3.75,violoncello
32.875,33.0,53,F3,0.125,0,11,3.875,violoncello
33.0,33.5,52,E3,0.5,0,12,1.0,violoncello
34.0,34.5,58,B-3,0.5,0,12,2.0,violoncello
36.0,36.75,55,G3,0.75,0,13,1.0,violoncello
36.75,37.0,48,C3,0.25,0,13,1.75,violoncello
37.0,38.75,58,B-3,1.75,0,13,2.0,violoncello
38.75,38.875,57,A3,0.125,0,13,3.75,violoncello
38.875,39.0,55,G3,0.125,0,13,3.875,violoncello
39.0,39.5,53,F3,0.5,0,14,1.0,violoncello
40.0,40.5,63,E-4,0.5,0,14,2.0,violoncello
42.5,43.0,62,D4,0.5,0,15,1.5,violoncello
43.0,43.5,62,D4,0.5,0,15,2.0,violoncello
43.5,44.0,62,D4,0.5,0,15,2.5,violoncello
44.0,44.5,61,C#4,0.5,0,15,3.0,violoncello
44.5,45.0,60,C4,0.5,0,15,3.5,violoncello
45.5,46.0,59,B3,0.5,0,16,1.5,violoncello
46.0,46.5,59,B3,0.5,0,16,2.0,violoncello
46.5,47.0,59,B3,0.5,0,16,2.5,violoncello
47.0,47.5,58,B-3,0.5,0,16,3.0,violoncello
47.5,48.0,57,A3,0.5,0,16,3.5,violoncello
48.5,49.0,55,G3,0.5,0,17,1.5,violoncello
49.0,49.5,55,G3,0.5,0,17,2.0,violoncello
49.5,50.0,55,G3,0.5,0,17,2.5,violoncello
50.0,50.5,52,E3,0.5,0,17,3.0,violoncello
50.5,51.0,53,F3,0.5,0,17,3.5,violoncello
51.0,52.5,48,C3,1.5,0,18,1.0,violoncello
54.0,54.5,36,C2,0.5,0,19,1.0,violoncello
54.5,55.0,48,C3,0.5,0,19,1.5,violoncello
55.0,55.5,48,C3,0.5,0,19,2.0,violoncello
55.5,56.0,48,C3,0.5,0,19,2.5,violoncello
56.0,56.5,48,C3,0.5,0,19,3.0,violoncello
56.5,57.0,48,C3,0.5,0,19,3.5,violoncello
57.0,57.5,48,C3,0.5,0,20,1.0,violoncello
57.5,58.0,48,C3,0.5,0,20,1.5,violoncello
58.0,58.5,48,C3,0.5,0,20,2.0,violoncello
58.5,59.0,48,C3,0.5,0,20,2.5,violoncello
59.0,59.5,48,C3,0.5,0,20,3.0,violoncello
59.5,60.0,48,C3,0.5,0,20,3.5,violoncello
60.0,60.5,36,C2,0.5,0,21,1.0,violoncello
60.5,61.0,48,C3,0.5,0,21,1.5,violoncello
61.0,61.5,48,C3,0.5,0,21,2.0,violoncello
61.5,62.0,48,C3,0.5,0,21,2.5,violoncello
62.0,62.5,48,C3,0.5,0,21,3.0,violoncello
62.5,63.0,48,C3,0.5,0,21,3.5,violoncello
63.0,63.5,48,C3,0.5,0,22,1.0,violoncello
63.5,64.0,48,C3,0.5,0,22,1.5,violoncello
64.0,64.5,48,C3,0.5,0,22,2.0,violoncello
64.5,65.0,48,C3,0.5,0,22,2.5,violoncello
65.0,65.5,48,C3,0.5,0,22,3.0,violoncello
65.5,66.0,48,C3,0.5,0,22,3.5,violoncello
66.0,66.5,39,E-2,0.5,0,23,1.0,violoncello
66.5,67.0,51,E-3,0.5,0,23,1.5,violoncello
67.0,67.5,51,E-3,0.5,0,23,2.0,violoncello
67.5,68.0,51,E-3,0.5,0,23,2.5,violoncello
68.0,68.5,41,F2,0.5,0,23,3.0,violoncello
68.5,69.0,53,F3,0.5,0,23,3.5,violoncello
69.0,69.5,53,F3,0.5,0,24,1.0,violoncello
69.5,70.0,53,F3,0.5,0,24,1.5,violoncello
70.0,70.5,43,G2,0.5,0,24,2.0,violoncello
70.5,71.0,55,G3,0.5,0,24,2.5,violoncello
71.0,71.5,55,G3,0.5,0,24,3.0,violoncello
71.5,72.0,55,G3,0.5,0,24,3.5,violoncello
72.0,72.5,44,A-2,0.5,0,25,1.0,violoncello
72.5,73.0,56,A-3,0.5,0,25,1.5,violoncello
73.0,73.5,56,A-3,0.5,0,25,2.0,violoncello
73.5,74.0,56,A-3,0.5,0,25,2.5,violoncello
74.0,74.5,45,A2,0.5,0,25,3.0,violoncello
74.5,75.0,57,A3,0.5,0,25,3.5,violoncello
75.0,77.0,57,A3,2.0,0,26,1.0,violoncello
77.0,78.0,56,A-3,1.0,0,26,3.0,violoncello
78.0,78.5,55,G3,0.5,0,27,1.0,violoncello
79.0,79.5,43,G2,0.5,0,27,2.0,violoncello
81.0,82.0,52,E3,1.0,0,28,1.0,violoncello
82.0,83.0,50,D3,1.0,0,28,2.0,violoncello
83.0,84.0,48,C3,1.0,0,28,3.0,violoncello
84.0,85.0,47,B2,1.0,0,29,1.0,violoncello
87.0,88.0,53,F3,1.0,0,30,1.0,violoncello
88.0,89.0,52,E3,1.0,0,30,2.0,violoncello
89.0,90.0,50,D3,1.0,0,30,3.0,violoncello
90.0,91.0,48,C3,1.0,0,31,1.0,violoncello
93.0,93.5,57,A3,0.5,0,32,1.0,violoncello
94.0,94.5,62,D4,0.5,0,32,2.0,violoncello
95.0,95.5,55,G3,0.5,0,32,3.0,violoncello
96.0,96.5,60,C4,0.5,0,33,1.0,violoncello
97.0,98.0,53,F3,1.0,0,33,2.0,violoncello
98.0,98.5,55,G3,0.5,0,33,3.0,violoncello
98.5,99.0,57,A3,0.5,0,33,3.5,violoncello
99.0,99.5,53,F3,0.5,0,34,1.0,violoncello
100.0,100.5,55,G3,0.5,0,34,2.0,violoncello
101.0,101.5,43,G2,0.5,0,34,3.0,violoncello
102.0,102.5,45,A2,0.5,0,35,1.0,violoncello
103.0,103.5,50,D3,0.5,0,35,2.0,violoncello
104.0,104.5,43,G2,0.5,0,35,3.0,violoncello
105.0,105.5,48,C3,0.5,0,36,1.0,violoncello
106.0,107.0,53,F3,1.0,0,36,2.0,violoncello
107.0,107.5,55,G3,0.5,0,36,3.0,violoncello
107.5,108.0,57,A3,0.5,0,36,3.5,violoncello
108.0,109.0,50,D3,1.0,0,37,1.0,violoncello
109.0,109.5,52,E3,0.5,0,37,2.0,violoncello
109.5,110.0,53,F3,0.5,0,37,2.5,violoncello
110.0,111.0,46,B-2,1.0,0,37,3.0,violoncello
111.0,111.5,48,C3,0.5,0,38,1.0,violoncello
111.5,112.0,50,D3,0.5,0,38,1.5,violoncello
112.0,112.5,52,E3,0.5,0,38,2.0,violoncello
112.5,113.0,53,F3,0.5,0,38,2.5,violoncello
113.0,113.5,55,G3,0.5,0,38,3.0,violoncello
113.5,114.0,43,G2,0.5,0,38,3.5,violoncello
114.0,115.0,48,C3,1.0,0,39,1.0,violoncello
119.0,120.0,55,G3,1.0,0,40,3.0,violoncello
120.0,120.5,60,C4,0.5,0,41,1.0,violoncello
125.0,126.0,55,G3,1.0,0,42,3.0,violoncello
126.0,126.5,48,C3,0.5,0,43,1.0,violoncello
127.0,127.5,60,C4,0.5,0,43,2.0,violoncello
134.0,135.0,53,F3,1.0,0,45,3.0,violoncello
135.0,135.5,55,G3,0.5,0,46,1.0,violoncello
136.0,136.5,48,C3,0.5,0,46,2.0,violoncello
140.0,141.0,58,B-3,1.0,0,47,3.0,violoncello
141.0,141.5,57,A3,0.5,0,48,1.0,violoncello
142.0,142.5,45,A2,0.5,0,48,2.0,violoncello
148.0,149.0,49,C#3,1.0,0,50,2.0,violoncello
149.0,150.0,50,D3,1.0,0,50,3.0,violoncello
150.0,150.5,46,B-2,0.5,0,51,1.0,violoncello
150.5,151.0,46,B-2,0.5,0,51,1.5,violoncello
151.0,151.5,46,B-2,0.5,0,51,2.0,violoncello
151.5,152.0,46,B-2,0.5,0,51,2.5,violoncello
152.0,152.5,46,B-2,0.5,0,51,3.0,violoncello
152.5,153.0,46,B-2,0.5,0,51,3.5,violoncello
153.0,153.5,48,C3,0.5,0,52,1.0,violoncello
153.5,154.0,48,C3,0.5,0,52,1.5,violoncello
154.0,154.5,48,C3,0.5,0,52,2.0,violoncello
154.5,155.0,48,C3,0.5,0,52,2.5,violoncello
155.0,155.5,48,C3,0.5,0,52,3.0,violoncello
155.5,156.0,48,C3,0.5,0,52,3.5,violoncello
156.0,156.5,49,C#3,0.5,0,53,1.0,violoncello
156.5,157.0,49,C#3,0.5,0,53,1.5,violoncello
157.0,157.5,50,D3,0.5,0,53,2.0,violoncello
157.5,158.0,50,D3,0.5,0,53,2.5,violoncello
158.0,158.5,46,B-2,0.5,0,53,3.0,violoncello
158.5,159.0,46,B-2,0.5,0,53,3.5,violoncello
159.0,159.5,48,C3,0.5,0,54,1.0,violoncello
159.5,160.0,48,C3,0.5,0,54,1.5,violoncello
160.0,160.5,48,C3,0.5,0,54,2.0,violoncello
160.5,161.0,48,C3,0.5,0,54,2.5,violoncello
161.0,161.5,48,C3,0.5,0,54,3.0,violoncello
161.5,162.0,48,C3,0.5,0,54,3.5,violoncello
162.0,162.75,53,F3,0.75,0,55,1.0,violoncello
162.75,163.0,48,C3,0.25,0,55,1.75,violoncello
163.0,164.75,57,A3,1.75,0,55,2.0,violoncello
164.75,164.875,55,G3,0.125,0,55,3.75,violoncello
164.875,165.0,53,F3,0.125,0,55,3.875,violoncello
165.0,165.5,52,E3,0.5,0,56,1.0,violoncello
166.0,166.5,58,B-3,0.5,0,56,2.0,violoncello
168.0,168.75,55,G3,0.75,0,57,1.0,violoncello
168.75,169.0,48,C3,0.25,0,57,1.75,violoncello
169.0,170.75,58,B-3,1.75,0,57,2.0,violoncello
170.75,170.875,57,A3,0.125,0,57,3.75,violoncello
170.875,171.0,55,G3,0.125,0,57,3.875,violoncello
171.0,171.5,53,F3,0.5,0,58,1.0,violoncello
172.0,172.5,63,E-4,0.5,0,58,2.0,violoncello
174.5,175.0,62,D4,0.5,0,59,1.5,violoncello
175.0,175.5,62,D4,0.5,0,59,2.0,violoncello
175.5,176.0,62,D4,0.5,0,59,2.5,violoncello
176.0,176.5,61,C#4,0.5,0,59,3.0,violoncello
176.5,177.0,60,C4,0.5,0,59,3.5,violoncello
177.5,178.0,59,B3,0.5,0,60,1.5,violoncello
178.0,178.5,59,B3,0.5,0,60,2.0,violoncello
178.5,179.0,59,B3,0.5,0,60,2.5,violoncello
179.0,179.5,58,B-3,0.5,0,60,3.0,violoncello
179.5,180.0,57,A3,0.5,0,60,3.5,violoncello
180.5,181.0,55,G3,0.5,0,61,1.5,violoncello
181.0,181.5,55,G3,0.5,0,61,2.0,violoncello
181.5,182.0,55,G3,0.5,0,61,2.5,violoncello
182.0,182.5,52,E3,0.5,0,61,3.0,violoncello
182.5,183.0,53,F3,0.5,0,61,3.5,violoncello
183.0,184.5,48,C3,1.5,0,62,1.0,violoncello
186.0,186.5,36,C2,0.5,0,63,1.0,violoncello
186.5,187.0,48,C3,0.5,0,63,1.5,violoncello
187.0,187.5,48,C3,0.5,0,63,2.0,violoncello
187.5,188.0,48,C3,0.5,0,63,2.5,violoncello
188.0,188.5,48,C3,0.5,0,63,3.0,violoncello
188.5,189.0,48,C3,0.5,0,63,3.5,violoncello
189.0,189.5,48,C3,0.5,0,64,1.0,violoncello
189.5,190.0,48,C3,0.5,0,64,1.5,violoncello
190.0,190.5,48,C3,0.5,0,64,2.0,violoncello
190.5,191.0,48,C3,0.5,0,64,2.5,violoncello
191.0,191.5,48,C3,0.5,0,64,3.0,violoncello
191.5,192.0,48,C3,0.5,0,64,3.5,violoncello
192.0,192.5,36,C2,0.5,0,65,1.0,violoncello
192.5,193.0,48,C3,0.5,0,65,1.5,violoncello
193.0,193.5,48,C3,0.5,0,65,2.0,violoncello
193.5,194.0,48,C3,0.5,0,65,2.5,violoncello
194.0,194.5,48,C3,0.5,0,65,3.0,violoncello
194.5,195.0,48,C3,0.5,0,65,3.5,violoncello
195.0,195.5,48,C3,0.5,0,66,1.0,violoncello
195.5,196.0,48,C3,0.5,0,66,1.5,violoncello
196.0,196.5,48,C3,0.5,0,66,2.0,violoncello
196.5,197.0,48,C3,0.5,0,66,2.5,violoncello
197.0,197.5,48,C3,0.5,0,66,3.0,violoncello
197.5,198.0,48,C3,0.5,0,66,3.5,violoncello
198.0,198.5,39,E-2,0.5,0,67,1.0,violoncello
198.5,199.0,51,E-3,0.5,0,67,1.5,violoncello
199.0,199.5,51,E-3,0.5,0,67,2.0,violoncello
199.5,200.0,51,E-3,0.5,0,67,2.5,violoncello
200.0,200.5,41,F2,0.5,0,67,3.0,violoncello
200.5,201.0,53,F3,0.5,0,67,3.5,violoncello
201.0,201.5,53,F3,0.5,0,68,1.0,violoncello
201.5,202.0,53,F3,0.5,0,68,1.5,violoncello
202.0,202.5,43,G2,0.5,0,68,2.0,violoncello
202.5,203.0,55,G3,0.5,0,68,2.5,violoncello
203.0,203.5,55,G3,0.5,0,68,3.0,violoncello
203.5,204.0,55,G3,0.5,0,68,3.5,violoncello
204.0,204.5,44,A-2,0.5,0,69,1.0,violoncello
204.5,205.0,56,A-3,0.5,0,69,1.5,violoncello
205.0,205.5,56,A-3,0.5,0,69,2.0,violoncello
205.5,206.0,56,A-3,0.5,0,69,2.5,violoncello
206.0,206.5,45,A2,0.5,0,69,3.0,violoncello
206.5,207.0,57,A3,0.5,0,69,3.5,violoncello
207.0,209.0,57,A3,2.0,0,70,1.0,violoncello
209.0,210.0,56,A-3,1.0,0,70,3.0,violoncello
210.0,210.5,55,G3,0.5,0,71,1.0,violoncello
211.0,211.5,43,G2,0.5,0,71,2.0,violoncello
213.0,214.0,52,E3,1.0,0,72,1.0,violoncello
214.0,215.0,50,D3,1.0,0,72,2.0,violoncello
215.0,216.0,48,C3,1.0,0,72,3.0,violoncello
216.0,217.0,47,B2,1.0,0,73,1.0,violoncello
219.0,220.0,53,F3,1.0,0,74,1.0,violoncello
220.0,221.0,52,E3,1.0,0,74,2.0,violoncello
221.0,222.0,50,D3,1.0,0,74,3.0,violoncello
222.0,223.0,48,C3,1.0,0,75,1.0,violoncello
225.0,225.5,57,A3,0.5,0,76,1.0,violoncello
226.0,226.5,62,D4,0.5,0,76,2.0,violoncello
227.0,227.5,55,G3,0.5,0,76,3.0,violoncello
228.0,228.5,60,C4,0.5,0,77,1.0,violoncello
229.0,230.0,53,F3,1.0,0,77,2.0,violoncello
230.0,230.5,55,G3,0.5,0,77,3.0,violoncello
230.5,231.0,57,A3,0.5,0,77,3.5,violoncello
231.0,231.5,53,F3,0.5,0,78,1.0,violoncello
232.0,232.5,55,G3,0.5,0,78,2.0,violoncello
233.0,233.5,43,G2,0.5,0,78,3.0,violoncello
234.0,234.5,45,A2,0.5,0,79,1.0,violoncello
235.0,235.5,50,D3,0.5,0,79,2.0,violoncello
236.0,236.5,43,G2,0.5,0,79,3.0,violoncello
237.0,237.5,48,C3,0.5,0,80,1.0,violoncello
238.0,239.0,53,F3,1.0,0,80,2.0,violoncello
239.0,239.5,55,G3,0.5,0,80,3.0,violoncello
239.5,240.0,57,A3,0.5,0,80,3.5,violoncello
240.0,241.0,50,D3,1.0,0,81,1.0,violoncello
241.0,241.5,52,E3,0.5,0,81,2.0,violoncello
241.5,242.0,53,F3,0.5,0,81,2.5,violoncello
242.0,243.0,46,B-2,1.0,0,81,3.0,violoncello
243.0,243.5,48,C3,0.5,0,82,1.0,violoncello
243.5,244.0,50,D3,0.5,0,82,1.5,violoncello
244.0,244.5,52,E3,0.5,0,82,2.0,violoncello
244.5,245.0,53,F3,0.5,0,82,2.5,violoncello
245.0,245.5,55,G3,0.5,0,82,3.0,violoncello
245.5,246.0,43,G2,0.5,0,82,3.5,violoncello
246.0,247.0,48,C3,1.0,0,83,1.0,violoncello
251.0,252.0,55,G3,1.0,0,84,3.0,violoncello
252.0,252.5,60,C4,0.5,0,85,1.0,violoncello
257.0,258.0,55,G3,1.0,0,86,3.0,violoncello
258.0,258.5,48,C3,0.5,0,87,1.0,violoncello
259.0,259.5,60,C4,0.5,0,87,2.0,violoncello
264.0,265.5,45,A2,1.5,0,89,1.0,violoncello
270.0,270.5,38,D2,0.5,0,91,1.0,violoncello
270.5,271.0,50,D3,0.5,0,91,1.5,violoncello
271.0,271.5,50,D3,0.5,0,91,2.0,violoncello
271.5,272.0,50,D3,0.5,0,91,2.5,violoncello
272.0,272.5,50,D3,0.5,0,91,3.0,violoncello
272.5,273.0,50,D3,0.5,0,91,3.5,violoncello
273.0,273.5,50,D3,0.5,0,92,1.0,violoncello
273.5,274.0,50,D3,0.5,0,92,1.5,violoncello
274.0,274.5,50,D3,0.5,0,92,2.0,violoncello
274.5,275.0,50,D3,0.5,0,92,2.5,violoncello
275.0,275.5,50,D3,0.5,0,92,3.0,violoncello
275.5,276.0,50,D3,0.5,0,92,3.5,violoncello
276.0,276.5,37,C#2,0.5,0,93,1.0,violoncello
276.5,277.0,49,C#3,0.5,0,93,1.5,violoncello
277.0,277.5,49,C#3,0.5,0,93,2.0,violoncello
277.5,278.0,49,C#3,0.5,0,93,2.5,violoncello
278.0,278.5,49,C#3,0.5,0,93,3.0,violoncello
278.5,279.0,49,C#3,0.5,0,93,3.5,violoncello
279.0,279.5,48,C3,0.5,0,94,1.0,violoncello
279.5,280.0,48,C3,0.5,0,94,1.5,violoncello
280.0,280.5,48,C3,0.5,0,94,2.0,violoncello
280.5,281.0,48,C3,0.5,0,94,2.5,violoncello
281.0,281.5,48,C3,0.5,0,94,3.0,violoncello
281.5,282.0,48,C3,0.5,0,94,3.5,violoncello
282.0,282.5,46,B-2,0.5,0,95,1.0,violoncello
282.5,283.0,58,B-3,0.5,0,95,1.5,violoncello
283.0,283.5,58,B-3,0.5,0,95,2.0,violoncello
283.5,284.0,58,B-3,0.5,0,95,2.5,violoncello
284.0,284.5,46,B-2,0.5,0,95,3.0,violoncello
284.5,285.0,58,B-3,0.5,0,95,3.5,violoncello
285.0,285.5,58,B-3,0.5,0,96,1.0,violoncello
285.5,286.0,58,B-3,0.5,0,96,1.5,violoncello
286.0,286.5,41,F2,0.5,0,96,2.0,violoncello
286.5,287.0,53,F3,0.5,0,96,2.5,violoncello
287.0,287.5,53,F3,0.5,0,96,3.0,violoncello
287.5,288.0,53,F3,0.5,0,96,3.5,violoncello
288.0,288.5,36,C2,0.5,0,97,1.0,violoncello
288.5,289.0,48,C3,0.5,0,97,1.5,violoncello
289.0,289.5,48,C3,0.5,0,97,2.0,violoncello
289.5,290.0,48,C3,0.5,0,97,2.5,violoncello
290.0,290.5,43,G2,0.5,0,97,3.0,violoncello
290.5,291.0,55,G3,0.5,0,97,3.5,violoncello
291.0,291.5,55,G3,0.5,0,98,1.0,violoncello
291.5,292.0,55,G3,0.5,0,98,1.5,violoncello
292.0,292.5,50,D3,0.5,0,98,2.0,violoncello
292.5,293.0,62,D4,0.5,0,98,2.5,violoncello
293.0,293.5,62,D4,0.5,0,98,3.0,violoncello
293.5,294.0,62,D4,0.5,0,98,3.5,violoncello
294.0,294.5,43,G2,0.5,0,99,1.0,violoncello
294.5,295.0,55,G3,0.5,0,99,1.5,violoncello
295.0,295.5,55,G3,0.5,0,99,2.0,violoncello
295.5,296.0,55,G3,0.5,0,99,2.5,violoncello
296.0,296.5,56,G#3,0.5,0,99,3.0,violoncello
296.5,297.0,56,G#3,0.5,0,99,3.5,violoncello
297.0,297.5,57,A3,0.5,0,100,1.0,violoncello
298.0,299.0,46,B-2,1.0,0,100,2.0,violoncello
299.0,299.5,45,A2,0.5,0,100,3.0,violoncello
300.0,301.0,58,B-3,1.0,0,101,1.0,violoncello
301.0,301.5,57,A3,0.5,0,101,2.0,violoncello
304.0,304.5,52,E3,0.5,0,102,2.0,violoncello
305.0,305.5,57,A3,0.5,0,102,3.0,violoncello
306.0,306.5,50,D3,0.5,0,103,1.0,violoncello
307.0,307.5,55,G3,0.5,0,103,2.0,violoncello
308.0,308.5,48,C3,0.5,0,103,3.0,violoncello
309.0,310.0,53,F3,1.0,0,104,1.0,violoncello
313.125,313.25,54,F#3,0.125,0,105,2.125,violoncello
313.25,313.375,55,G3,0.125,0,105,2.25,violoncello
313.375,313.5,54,F#3,0.125,0,105,2.375,violoncello
313.5,313.625,55,G3,0.125,0,105,2.5,violoncello
313.625,313.75,57,A3,0.125,0,105,2.625,violoncello
313.75,313.875,58,B-3,0.125,0,105,2.75,violoncello
313.875,314.0,57,A3,0.125,0,105,2.875,violoncello
314.0,314.125,58,B-3,0.125,0,105,3.0,violoncello
314.125,314.25,61,C#4,0.125,0,105,3.125,violoncello
314.25,314.375,62,D4,0.125,0,105,3.25,violoncello
314.375,314.5,57,A3,0.125,0,105,3.375,violoncello
314.5,314.625,60,C4,0.125,0,105,3.5,violoncello
314.625,314.75,58,B-3,0.125,0,105,3.625,violoncello
314.75,314.875,57,A3,0.125,0,105,3.75,violoncello
314.875,315.0,55,G3,0.125,0,105,3.875,violoncello
315.0,316.0,53,F3,1.0,0,106,1.0,violoncello
316.0,316.5,52,E3,0.5,0,106,2.0,violoncello
317.0,317.5,48,C3,0.5,0,106,3.0,violoncello
318.0,318.5,51,E-3,0.5,0,107,1.0,violoncello
319.0,319.5,48,C3,0.5,0,107,2.0,violoncello
320.0,320.5,45,A2,0.5,0,107,3.0,violoncello
321.0,321.75,58,B-3,0.75,0,108,1.0,violoncello
321.75,322.0,53,F3,0.25,0,108,1.75,violoncello
322.0,323.75,62,D4,1.75,0,108,2.0,violoncello
323.75,323.875,60,C4,0.125,0,108,3.75,violoncello
323.875,324.0,58,B-3,0.125,0,108,3.875,violoncello
324.0,324.5,57,A3,0.5,0,109,1.0,violoncello
325.0,325.5,63,E-4,0.5,0,109,2.0,violoncello
327.125,327.25,59,B3,0.125,0,110,1.125,violoncello
327.25,327.375,60,C4,0.125,0,110,1.25,violoncello
327.375,327.5,59,B3,0.125,0,110,1.375,violoncello
327.5,327.625,60,C4,0.125,0,110,1.5,violoncello
327.625,327.75,62,D4,0.125,0,110,1.625,violoncello
327.75,327.875,63,E-4,0.125,0,110,1.75,violoncello
327.875,328.0,62,D4,0.125,0,110,1.875,violoncello
328.0,328.125,63,E-4,0.125,0,110,2.0,violoncello
328.125,328.25,66,F#4,0.125,0,110,2.125,violoncello
328.25,328.375,67,G4,0.125,0,110,2.25,violoncello
328.375,328.5,62,D4,0.125,0,110,2.375,violoncello
328.5,328.625,65,F4,0.125,0,110,2.5,violoncello
328.625,328.75,63,E-4,0.125,0,110,2.625,violoncello
328.75,328.875,62,D4,0.125,0,110,2.75,violoncello
328.875,329.0,60,C4,0.125,0,110,2.875,violoncello
329.0,329.125,58,B-3,0.125,0,110,3.0,violoncello
329.125,329.25,57,A3,0.125,0,110,3.125,violoncello
329.25,329.375,60,C4,0.125,0,110,3.25,violoncello
329.375,329.5,58,B-3,0.125,0,110,3.375,violoncello
329.5,329.625,57,A3,0.125,0,110,3.5,violoncello
329.625,329.75,55,G3,0.125,0,110,3.625,violoncello
329.75,329.875,53,F3,0.125,0,110,3.75,violoncello
329.875,330.0,51,E-3,0.125,0,110,3.875,violoncello
330.0,330.5,50,D3,0.5,0,111,1.0,violoncello
332.0,332.5,60,C4,0.5,0,111,3.0,violoncello
334.0,334.5,58,B-3,0.5,0,112,2.0,violoncello
336.0,336.5,58,B-3,0.5,0,113,1.0,violoncello
338.0,338.5,57,A3,0.5,0,113,3.0,violoncello
