onset,offset,role
4,5,rhythm+harm
10,11,rhythm+harm
18,25,mel
54,58,harm
60,64,harm
64,67,mel
67,76,harm
81,86,mel
87,92,mel
91,93,rhythm+harm
100,112,harm
111,115,mel
136,137,rhythm+harm
142,143,rhythm+harm
150,157,mel
186,190,harm
192,196,harm
196,199,mel
199,208,harm
213,218,mel
219,224,mel
223,225,rhythm+harm
232,244,harm
243,247,mel
268,274,mel+harm
274,280,mel+harm
280.5,283,mel
283,298,harm
308,310,harm
348,356,harm
361,363,rhythm+harm
367,369,rhythm+harm
376,382,harm
382,391,mel+harm
401,404,harm
414,421,mel
432,434,harm
