onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
6.0,7.0,48,C3,1.0,0,3,1.0,doublebass
9.0,10.0,43,G2,1.0,0,4,1.0,doublebass
18.0,19.0,43,G2,1.0,0,7,1.0,doublebass
21.0,22.0,36,C2,1.0,0,8,1.0,doublebass
24.0,25.0,43,G2,1.0,0,9,1.0,doublebass
27.0,28.0,38,D2,1.0,0,10,1.0,doublebass
30.0,31.0,43,G2,1.0,0,11,1.0,doublebass
33.0,34.0,38,D2,1.0,0,12,1.0,doublebass
36.0,37.0,35,B1,1.0,0,13,1.0,doublebass
37.0,38.0,35,B1,1.0,0,13,2.0,doublebass
38.0,39.0,35,B1,1.0,0,13,3.0,doublebass
39.0,40.0,36,C2,1.0,0,14,1.0,doublebass
40.0,41.0,36,C2,1.0,0,14,2.0,doublebass
41.0,42.0,36,C2,1.0,0,14,3.0,doublebass
42.0,43.0,38,D2,1.0,0,15,1.0,doublebass
43.0,44.0,38,D2,1.0,0,15,2.0,doublebass
44.0,45.0,38,D2,1.0,0,15,3.0,doublebass
45.0,46.0,31,G1,1.0,0,16,1.0,doublebass
54.0,55.0,48,C3,1.0,0,19,1.0,doublebass
57.0,58.0,43,G2,1.0,0,20,1.0,doublebass
66.0,67.0,43,G2,1.0,0,23,1.0,doublebass
69.0,70.0,36,C2,1.0,0,24,1.0,doublebass
72.0,73.0,43,G2,1.0,0,25,1.0,doublebass
75.0,76.0,38,D2,1.0,0,26,1.0,doublebass
78.0,79.0,43,G2,1.0,0,27,1.0,doublebass
81.0,82.0,38,D2,1.0,0,28,1.0,doublebass
84.0,85.0,35,B1,1.0,0,29,1.0,doublebass
85.0,86.0,35,B1,1.0,0,29,2.0,doublebass
86.0,87.0,35,B1,1.0,0,29,3.0,doublebass
87.0,88.0,36,C2,1.0,0,30,1.0,doublebass
88.0,89.0,36,C2,1.0,0,30,2.0,doublebass
89.0,90.0,36,C2,1.0,0,30,3.0,doublebass
90.0,91.0,38,D2,1.0,0,31,1.0,doublebass
91.0,92.0,38,D2,1.0,0,31,2.0,doublebass
92.0,93.0,38,D2,1.0,0,31,3.0,doublebass
93.0,94.0,31,G1,1.0,0,32,1.0,doublebass
96.0,97.0,31,G1,1.0,0,33,1.0,doublebass
102.0,103.0,31,G1,1.0,0,35,1.0,doublebass
108.0,109.0,31,G1,1.0,0,37,1.0,doublebass
111.0,112.0,31,G1,1.0,0,38,1.0,doublebass
114.0,115.0,31,G1,1.0,0,39,1.0,doublebass
117.0,118.0,31,G1,1.0,0,40,1.0,doublebass
118.0,119.0,43,G2,1.0,0,40,2.0,doublebass
119.0,120.0,43,G2,1.0,0,40,3.0,doublebass
120.0,122.0,43,G2,2.0,0,41,1.0,doublebass
122.0,122.5,40,E2,0.5,0,41,3.0,doublebass
122.5,123.0,36,C2,0.5,0,41,3.5,doublebass
123.0,124.0,43,G2,1.0,0,42,1.0,doublebass
135.0,137.0,48,C3,2.0,0,46,1.0,doublebass
137.0,138.0,47,B2,1.0,0,46,3.0,doublebass
138.0,139.0,46,B-2,1.0,0,47,1.0,doublebass
139.0,140.0,45,A2,1.0,0,47,2.0,doublebass
140.0,141.0,43,G2,1.0,0,47,3.0,doublebass
141.0,142.0,41,F2,1.0,0,48,1.0,doublebass
147.0,149.0,50,D3,2.0,0,50,1.0,doublebass
149.0,150.0,49,C#3,1.0,0,50,3.0,doublebass
150.0,151.0,48,C3,1.0,0,51,1.0,doublebass
151.0,152.0,47,B2,1.0,0,51,2.0,doublebass
152.0,153.0,45,A2,1.0,0,51,3.0,doublebass
153.0,154.0,43,G2,1.0,0,52,1.0,doublebass
159.0,161.0,55,G3,2.0,0,54,1.0,doublebass
161.0,162.0,54,F#3,1.0,0,54,3.0,doublebass
162.0,163.0,53,F3,1.0,0,55,1.0,doublebass
163.0,164.0,52,E3,1.0,0,55,2.0,doublebass
164.0,165.0,50,D3,1.0,0,55,3.0,doublebass
165.0,166.0,48,C3,1.0,0,56,1.0,doublebass
166.0,167.0,50,D3,1.0,0,56,2.0,doublebass
167.0,168.0,52,E3,1.0,0,56,3.0,doublebass
168.0,169.0,41,F2,1.0,0,57,1.0,doublebass
169.0,170.0,43,G2,1.0,0,57,2.0,doublebass
170.0,171.0,45,A2,1.0,0,57,3.0,doublebass
171.0,172.0,43,G2,1.0,0,58,1.0,doublebass
172.0,173.0,43,G2,1.0,0,58,2.0,doublebass
173.0,174.0,43,G2,1.0,0,58,3.0,doublebass
174.0,175.0,36,C2,1.0,0,59,1.0,doublebass
201.0,202.0,36,C2,1.0,0,68,1.0,doublebass
204.0,205.0,31,G1,1.0,0,69,1.0,doublebass
207.0,208.0,36,C2,1.0,0,70,1.0,doublebass
210.0,211.0,31,G1,1.0,0,71,1.0,doublebass
213.0,214.0,40,E2,1.0,0,72,1.0,doublebass
214.0,215.0,40,E2,1.0,0,72,2.0,doublebass
215.0,216.0,40,E2,1.0,0,72,3.0,doublebass
216.0,217.0,41,F2,1.0,0,73,1.0,doublebass
217.0,218.0,41,F2,1.0,0,73,2.0,doublebass
218.0,219.0,41,F2,1.0,0,73,3.0,doublebass
219.0,220.0,43,G2,1.0,0,74,1.0,doublebass
220.0,221.0,43,G2,1.0,0,74,2.0,doublebass
221.0,222.0,43,G2,1.0,0,74,3.0,doublebass
222.0,223.0,36,C2,1.0,0,75,1.0,doublebass
225.0,226.0,31,G1,1.0,0,76,1.0,doublebass
231.0,232.0,31,G1,1.0,0,78,1.0,doublebass
237.0,238.0,31,G1,1.0,0,80,1.0,doublebass
240.0,241.0,31,G1,1.0,0,81,1.0,doublebass
243.0,244.0,31,G1,1.0,0,82,1.0,doublebass
246.0,247.0,31,G1,1.0,0,83,1.0,doublebass
247.0,248.0,43,G2,1.0,0,83,2.0,doublebass
248.0,249.0,43,G2,1.0,0,83,3.0,doublebass
249.0,251.0,43,G2,2.0,0,84,1.0,doublebass
251.0,251.5,40,E2,0.5,0,84,3.0,doublebass
251.5,252.0,36,C2,0.5,0,84,3.5,doublebass
252.0,253.0,43,G2,1.0,0,85,1.0,doublebass
264.0,266.0,48,C3,2.0,0,89,1.0,doublebass
266.0,267.0,47,B2,1.0,0,89,3.0,doublebass
267.0,268.0,46,B-2,1.0,0,90,1.0,doublebass
268.0,269.0,45,A2,1.0,0,90,2.0,doublebass
269.0,270.0,43,G2,1.0,0,90,3.0,doublebass
270.0,271.0,41,F2,1.0,0,91,1.0,doublebass
276.0,278.0,50,D3,2.0,0,93,1.0,doublebass
278.0,279.0,49,C#3,1.0,0,93,3.0,doublebass
279.0,280.0,48,C3,1.0,0,94,1.0,doublebass
280.0,281.0,47,B2,1.0,0,94,2.0,doublebass
281.0,282.0,45,A2,1.0,0,94,3.0,doublebass
282.0,283.0,43,G2,1.0,0,95,1.0,doublebass
288.0,290.0,55,G3,2.0,0,97,1.0,doublebass
290.0,291.0,54,F#3,1.0,0,97,3.0,doublebass
291.0,292.0,53,F3,1.0,0,98,1.0,doublebass
292.0,293.0,52,E3,1.0,0,98,2.0,doublebass
293.0,294.0,50,D3,1.0,0,98,3.0,doublebass
294.0,295.0,48,C3,1.0,0,99,1.0,doublebass
295.0,296.0,50,D3,1.0,0,99,2.0,doublebass
296.0,297.0,52,E3,1.0,0,99,3.0,doublebass
297.0,298.0,41,F2,1.0,0,100,1.0,doublebass
298.0,299.0,43,G2,1.0,0,100,2.0,doublebass
299.0,300.0,45,A2,1.0,0,100,3.0,doublebass
300.0,301.0,43,G2,1.0,0,101,1.0,doublebass
301.0,302.0,43,G2,1.0,0,101,2.0,doublebass
302.0,303.0,43,G2,1.0,0,101,3.0,doublebass
303.0,304.0,36,C2,1.0,0,102,1.0,doublebass
330.0,331.0,36,C2,1.0,0,111,1.0,doublebass
333.0,334.0,31,G1,1.0,0,112,1.0,doublebass
336.0,337.0,36,C2,1.0,0,113,1.0,doublebass
339.0,340.0,31,G1,1.0,0,114,1.0,doublebass
342.0,343.0,40,E2,1.0,0,115,1.0,doublebass
343.0,344.0,40,E2,1.0,0,115,2.0,doublebass
344.0,345.0,40,E2,1.0,0,115,3.0,doublebass
345.0,346.0,41,F2,1.0,0,116,1.0,doublebass
346.0,347.0,41,F2,1.0,0,116,2.0,doublebass
347.0,348.0,41,F2,1.0,0,116,3.0,doublebass
348.0,349.0,43,G2,1.0,0,117,1.0,doublebass
349.0,350.0,43,G2,1.0,0,117,2.0,doublebass
350.0,351.0,43,G2,1.0,0,117,3.0,doublebass
351.0,352.0,36,C2,1.0,0,118,1.0,doublebass
361.0,362.0,47,B2,1.0,0,62,2.0,doublebass
362.0,363.0,48,C3,1.0,0,62,3.0,doublebass
363.0,364.0,43,G2,1.0,0,63,1.0,doublebass
374.0,375.0,43,G2,1.0,0,66,3.0,doublebass
375.0,376.0,36,C2,1.0,0,67,1.0,doublebass
385.0,386.0,47,B2,1.0,0,70,2.0,doublebass
386.0,387.0,48,C3,1.0,0,70,3.0,doublebass
387.0,388.0,43,G2,1.0,0,71,1.0,doublebass
398.0,399.0,43,G2,1.0,0,74,3.0,doublebass
399.0,400.0,36,C2,1.0,0,75,1.0,doublebass
402.0,403.0,40,E2,1.0,0,76,1.0,doublebass
403.0,403.5,52,E3,0.5,0,76,2.0,doublebass
403.5,404.0,52,E3,0.5,0,76,2.5,doublebass
404.0,405.0,52,E3,1.0,0,76,3.0,doublebass
405.0,406.0,40,E2,1.0,0,77,1.0,doublebass
406.0,406.5,52,E3,0.5,0,77,2.0,doublebass
406.5,407.0,52,E3,0.5,0,77,2.5,doublebass
407.0,408.0,52,E3,1.0,0,77,3.0,doublebass
408.0,409.0,40,E2,1.0,0,78,1.0,doublebass
409.0,409.5,52,E3,0.5,0,78,2.0,doublebass
409.5,410.0,52,E3,0.5,0,78,2.5,doublebass
410.0,411.0,52,E3,1.0,0,78,3.0,doublebass
411.0,412.0,40,E2,1.0,0,79,1.0,doublebass
412.0,412.5,52,E3,0.5,0,79,2.0,doublebass
412.5,413.0,52,E3,0.5,0,79,2.5,doublebass
413.0,414.0,52,E3,1.0,0,79,3.0,doublebass
414.0,415.0,40,E2,1.0,0,80,1.0,doublebass
415.0,415.5,52,E3,0.5,0,80,2.0,doublebass
415.5,416.0,52,E3,0.5,0,80,2.5,doublebass
416.0,417.0,52,E3,1.0,0,80,3.0,doublebass
417.0,418.0,40,E2,1.0,0,81,1.0,doublebass
418.0,418.5,52,E3,0.5,0,81,2.0,doublebass
418.5,419.0,52,E3,0.5,0,81,2.5,doublebass
419.0,420.0,52,E3,1.0,0,81,3.0,doublebass
420.0,421.0,40,E2,1.0,0,82,1.0,doublebass
421.0,421.5,52,E3,0.5,0,82,2.0,doublebass
421.5,422.0,52,E3,0.5,0,82,2.5,doublebass
422.0,423.0,52,E3,1.0,0,82,3.0,doublebass
423.0,424.0,40,E2,1.0,0,83,1.0,doublebass
426.0,427.0,47,B2,1.0,0,84,1.0,doublebass
429.0,430.0,52,E3,1.0,0,85,1.0,doublebass
432.0,433.0,45,A2,1.0,0,86,1.0,doublebass
435.0,436.0,50,D3,1.0,0,87,1.0,doublebass
444.0,446.0,47,B2,2.0,0,90,1.0,doublebass
446.0,447.0,48,C3,1.0,0,90,3.0,doublebass
447.0,448.0,43,G2,1.0,0,91,1.0,doublebass
456.0,459.0,43,G2,3.0,0,94,1.0,doublebass
459.0,460.0,36,C2,1.0,0,95,1.0,doublebass
462.0,463.0,40,E2,1.0,0,96,1.0,doublebass
463.0,463.5,52,E3,0.5,0,96,2.0,doublebass
463.5,464.0,52,E3,0.5,0,96,2.5,doublebass
464.0,465.0,52,E3,1.0,0,96,3.0,doublebass
465.0,466.0,40,E2,1.0,0,97,1.0,doublebass
466.0,466.5,52,E3,0.5,0,97,2.0,doublebass
