onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
34.0,38.0,72,C5,4.0,0,9,2.0,oboe2
38.0,40.0,71,B4,2.0,0,10,2.0,oboe2
42.0,46.0,74,D5,4.0,0,11,2.0,oboe2
46.0,48.0,72,C5,2.0,0,12,2.0,oboe2
49.0,50.0,72,C5,1.0,0,13,1.5,oboe2
50.0,51.0,72,C5,1.0,0,13,2.0,oboe2
51.0,52.0,72,C5,1.0,0,13,2.5,oboe2
52.0,55.0,72,C5,3.0,0,14,1.0,oboe2
55.0,55.25,71,B4,0.25,0,14,2.5,oboe2
55.25,55.5,69,A4,0.25,0,14,2.625,oboe2
55.5,55.75,67,G4,0.25,0,14,2.75,oboe2
55.75,56.0,65,F4,0.25,0,14,2.875,oboe2
56.0,58.0,64,E4,2.0,0,15,1.0,oboe2
58.0,60.0,71,B4,2.0,0,15,2.0,oboe2
60.0,61.0,72,C5,1.0,0,16,1.0,oboe2
61.0,62.0,72,C5,1.0,0,16,1.5,oboe2
62.0,63.0,72,C5,1.0,0,16,2.0,oboe2
63.0,64.0,72,C5,1.0,0,16,2.5,oboe2
64.0,68.0,72,C5,4.0,0,17,1.0,oboe2
68.0,69.0,76,E5,1.0,0,18,1.0,oboe2
69.0,70.0,72,C5,1.0,0,18,1.5,oboe2
70.0,71.0,74,D5,1.0,0,18,2.0,oboe2
71.0,72.0,71,B4,1.0,0,18,2.5,oboe2
72.0,73.0,72,C5,1.0,0,19,1.0,oboe2
74.0,75.5,72,C5,1.5,0,19,2.0,oboe2
75.5,76.0,72,C5,0.5,0,19,2.75,oboe2
76.0,79.0,72,C5,3.0,0,20,1.0,oboe2
79.0,79.5,71,B4,0.5,0,20,2.5,oboe2
79.5,80.0,69,A4,0.5,0,20,2.75,oboe2
80.0,80.5,67,G4,0.5,0,21,1.0,oboe2
80.5,81.0,69,A4,0.5,0,21,1.25,oboe2
81.0,81.5,67,G4,0.5,0,21,1.5,oboe2
81.5,82.0,65,F4,0.5,0,21,1.75,oboe2
82.0,82.5,64,E4,0.5,0,21,2.0,oboe2
82.5,83.0,65,F4,0.5,0,21,2.25,oboe2
83.0,83.5,64,E4,0.5,0,21,2.5,oboe2
83.5,84.0,62,D4,0.5,0,21,2.75,oboe2
84.0,86.0,60,C4,2.0,0,22,1.0,oboe2
86.0,87.0,60,C4,1.0,0,22,2.0,oboe2
87.0,88.0,60,C4,1.0,0,22,2.5,oboe2
88.0,90.0,64,E4,2.0,0,23,1.0,oboe2
90.0,91.0,64,E4,1.0,0,23,2.0,oboe2
91.0,92.0,64,E4,1.0,0,23,2.5,oboe2
92.0,94.0,67,G4,2.0,0,24,1.0,oboe2
94.0,95.0,67,G4,1.0,0,24,2.0,oboe2
95.0,96.0,67,G4,1.0,0,24,2.5,oboe2
96.0,97.0,72,C5,1.0,0,25,1.0,oboe2
98.0,99.5,76,E5,1.5,0,25,2.0,oboe2
99.5,100.0,76,E5,0.5,0,25,2.75,oboe2
100.0,103.0,76,E5,3.0,0,26,1.0,oboe2
103.0,103.5,74,D5,0.5,0,26,2.5,oboe2
103.5,104.0,72,C5,0.5,0,26,2.75,oboe2
104.0,104.5,71,B4,0.5,0,27,1.0,oboe2
104.5,105.0,72,C5,0.5,0,27,1.25,oboe2
105.0,105.5,71,B4,0.5,0,27,1.5,oboe2
105.5,106.0,69,A4,0.5,0,27,1.75,oboe2
106.0,107.0,67,G4,1.0,0,27,2.0,oboe2
107.0,107.5,69,A4,0.5,0,27,2.5,oboe2
107.5,108.0,71,B4,0.5,0,27,2.75,oboe2
108.0,109.0,72,C5,1.0,0,28,1.0,oboe2
109.0,110.0,79,G5,1.0,0,28,1.5,oboe2
110.0,111.0,79,G5,1.0,0,28,2.0,oboe2
111.0,112.0,79,G5,1.0,0,28,2.5,oboe2
112.0,113.0,79,G5,1.0,0,29,1.0,oboe2
113.0,114.0,79,G5,1.0,0,29,1.5,oboe2
114.0,115.0,79,G5,1.0,0,29,2.0,oboe2
115.0,116.0,79,G5,1.0,0,29,2.5,oboe2
116.0,117.0,79,G5,1.0,0,30,1.0,oboe2
118.0,118.5,84,C6,0.5,0,30,2.0,oboe2
118.5,119.0,83,B5,0.5,0,30,2.25,oboe2
119.0,119.5,81,A5,0.5,0,30,2.5,oboe2
119.5,120.0,79,G5,0.5,0,30,2.75,oboe2
120.0,120.5,84,C6,0.5,0,31,1.0,oboe2
120.5,121.0,83,B5,0.5,0,31,1.25,oboe2
121.0,121.5,81,A5,0.5,0,31,1.5,oboe2
121.5,122.0,79,G5,0.5,0,31,1.75,oboe2
122.0,122.5,77,F5,0.5,0,31,2.0,oboe2
122.5,123.0,76,E5,0.5,0,31,2.25,oboe2
123.0,123.5,74,D5,0.5,0,31,2.5,oboe2
123.5,124.0,72,C5,0.5,0,31,2.75,oboe2
124.0,125.0,79,G5,1.0,0,32,1.0,oboe2
125.0,126.0,71,B4,1.0,0,32,1.5,oboe2
126.0,127.0,72,C5,1.0,0,32,2.0,oboe2
127.0,128.0,72,C5,1.0,0,32,2.5,oboe2
128.0,129.0,71,B4,1.0,0,33,1.0,oboe2
129.0,130.0,71,B4,1.0,0,33,1.5,oboe2
130.0,131.0,72,C5,1.0,0,33,2.0,oboe2
131.0,132.0,72,C5,1.0,0,33,2.5,oboe2
132.0,133.0,71,B4,1.0,0,34,1.0,oboe2
133.0,134.0,71,B4,1.0,0,34,1.5,oboe2
134.0,135.0,72,C5,1.0,0,34,2.0,oboe2
135.0,136.0,72,C5,1.0,0,34,2.5,oboe2
136.0,138.0,71,B4,2.0,0,35,1.0,oboe2
208.0,212.0,72,C5,4.0,0,53,1.0,oboe2
212.0,216.0,74,D5,4.0,0,54,1.0,oboe2
216.0,220.0,77,F5,4.0,0,55,1.0,oboe2
220.0,224.0,76,E5,4.0,0,56,1.0,oboe2
224.0,232.0,78,F#5,8.0,0,57,1.0,oboe2
232.0,240.0,76,E5,8.0,0,59,1.0,oboe2
240.0,248.0,74,D5,8.0,0,61,1.0,oboe2
248.0,250.0,71,B4,2.0,0,63,1.0,oboe2
250.0,252.0,79,G5,2.0,0,63,2.0,oboe2
252.0,254.0,78,F#5,2.0,0,64,1.0,oboe2
256.0,257.5,74,D5,1.5,0,65,1.0,oboe2
257.5,258.0,74,D5,0.5,0,65,1.75,oboe2
258.0,261.0,74,D5,3.0,0,65,2.0,oboe2
261.0,261.5,73,C#5,0.5,0,66,1.5,oboe2
261.5,262.0,71,B4,0.5,0,66,1.75,oboe2
262.0,262.5,69,A4,0.5,0,66,2.0,oboe2
262.5,263.0,71,B4,0.5,0,66,2.25,oboe2
263.0,263.5,69,A4,0.5,0,66,2.5,oboe2
263.5,264.0,67,G4,0.5,0,66,2.75,oboe2
264.0,264.5,66,F#4,0.5,0,67,1.0,oboe2
264.5,265.0,67,G4,0.5,0,67,1.25,oboe2
265.0,265.5,66,F#4,0.5,0,67,1.5,oboe2
265.5,266.0,64,E4,0.5,0,67,1.75,oboe2
266.0,267.0,62,D4,1.0,0,67,2.0,oboe2
268.0,269.5,74,D5,1.5,0,68,1.0,oboe2
269.5,270.0,74,D5,0.5,0,68,1.75,oboe2
270.0,273.0,74,D5,3.0,0,68,2.0,oboe2
273.0,273.5,73,C#5,0.5,0,69,1.5,oboe2
273.5,274.0,71,B4,0.5,0,69,1.75,oboe2
274.0,274.5,69,A4,0.5,0,69,2.0,oboe2
274.5,275.0,71,B4,0.5,0,69,2.25,oboe2
275.0,275.5,69,A4,0.5,0,69,2.5,oboe2
275.5,276.0,67,G4,0.5,0,69,2.75,oboe2
276.0,277.0,66,F#4,1.0,0,70,1.0,oboe2
277.0,278.0,74,D5,1.0,0,70,1.5,oboe2
278.0,279.0,74,D5,1.0,0,70,2.0,oboe2
279.0,280.0,74,D5,1.0,0,70,2.5,oboe2
280.0,281.0,74,D5,1.0,0,71,1.0,oboe2
281.0,282.0,74,D5,1.0,0,71,1.5,oboe2
282.0,283.0,74,D5,1.0,0,71,2.0,oboe2
283.0,284.0,74,D5,1.0,0,71,2.5,oboe2
