onset,offset,role
32,74,rhythm+harm
96,108,rhythm
108,116,rhythm+harm
116,124,rhythm
124,138,rhythm
208,224,rhythm
374,378,rhythm
392,394,rhythm
424,426,rhythm
434,452,rhythm+harm
456,508,rhythm
508,524,rhythm+harm
536,538,rhythm
540,602,rhythm+harm
660,702,rhythm+harm
724,736,rhythm
736,744,rhythm+harm
744,752,rhythm
752,766,rhythm
836,852,rhythm
1002,1006,rhythm
1020,1022,rhythm
1052,1054,rhythm
1062,1080,rhythm+harm
1084,1136,rhythm
1136,1152,rhythm+harm
1164,1166,rhythm
1168,1230,rhythm+harm
1314,1318,rhythm
1342,1346,rhythm
1356,1360,rhythm
1370,1374,rhythm
1392,1396,rhythm
1410,1414,rhythm
1516,1526,rhythm
1532,1554,rhythm+harm
1556,1572,rhythm+harm
1636,1642,rhythm
1660,1674,rhythm
1680,1710,rhythm
1760,1786,rhythm
1792,1814,rhythm
1826,1830,rhythm
1842,1846,rhythm
1854,1858,rhythm
1872,1936,rhythm
1944,1962,rhythm
1962,2000,rhythm
2000,2026,rhythm
2040,2050,rhythm+harm
2110,2114,rhythm
2138,2142,rhythm
2152,2156,rhythm
2166,2170,rhythm
2186,2192,rhythm
2206,2210,rhythm
2312,2322,rhythm
2328,2350,rhythm+harm
2352,2368,rhythm+harm
2432,2438,rhythm
2456,2470,rhythm
2476,2506,rhythm
2556,2582,rhythm
2588,2610,rhythm
2622,2626,rhythm
2638,2642,rhythm
2650,2654,rhythm
2668,2732,rhythm
2740,2758,rhythm
2758,2796,rhythm
2796,2822,rhythm
2836,2846,rhythm+harm
2846,2858,rhythm
2972,3028,rhythm
3028,3054,rhythm+harm
3076,3088,rhythm
3088,3096,rhythm+harm
3096,3114,rhythm
