onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
152.5,152.75,57,A3,0.25,0,39,3.5,horn2
152.75,153.0,57,A3,0.25,0,39,3.75,horn2
153.0,153.5,57,A3,0.5,0,39,4.0,horn2
153.5,154.0,57,A3,0.5,0,39,4.5,horn2
154.0,156.0,54,F#3,2.0,0,40,1.0,horn2
200.5,201.0,57,A3,0.5,0,51,3.5,horn2
201.0,201.75,56,G#3,0.75,0,51,4.0,horn2
201.75,202.0,56,G#3,0.25,0,51,4.75,horn2
202.0,202.75,56,G#3,0.75,0,52,1.0,horn2
202.75,203.0,54,F#3,0.25,0,52,1.75,horn2
203.0,203.75,54,F#3,0.75,0,52,2.0,horn2
203.75,204.0,51,D#3,0.25,0,52,2.75,horn2
204.0,204.5,49,C#3,0.5,0,52,3.0,horn2
208.5,209.0,57,A3,0.5,0,53,3.5,horn2
209.0,209.75,56,G#3,0.75,0,53,4.0,horn2
209.75,210.0,56,G#3,0.25,0,53,4.75,horn2
210.0,210.75,56,G#3,0.75,0,54,1.0,horn2
210.75,211.0,54,F#3,0.25,0,54,1.75,horn2
211.0,211.75,54,F#3,0.75,0,54,2.0,horn2
211.75,212.0,51,D#3,0.25,0,54,2.75,horn2
212.0,212.5,49,C#3,0.5,0,54,3.0,horn2
232.5,233.0,52,E3,0.5,0,59,3.5,horn2
233.0,233.75,51,E-3,0.75,0,59,4.0,horn2
233.75,234.0,51,E-3,0.25,0,59,4.75,horn2
234.0,234.75,51,E-3,0.75,0,60,1.0,horn2
234.75,235.0,49,D-3,0.25,0,60,1.75,horn2
235.0,235.75,49,D-3,0.75,0,60,2.0,horn2
235.75,236.0,46,B-2,0.25,0,60,2.75,horn2
236.0,236.5,44,A-2,0.5,0,60,3.0,horn2
240.5,241.0,52,E3,0.5,0,61,3.5,horn2
241.0,241.75,51,E-3,0.75,0,61,4.0,horn2
241.75,242.0,51,E-3,0.25,0,61,4.75,horn2
242.0,242.75,51,E-3,0.75,0,62,1.0,horn2
242.75,243.0,49,D-3,0.25,0,62,1.75,horn2
243.0,243.75,49,D-3,0.75,0,62,2.0,horn2
243.75,244.0,46,B-2,0.25,0,62,2.75,horn2
244.0,244.5,44,A-2,0.5,0,62,3.0,horn2
267.0,268.0,50,D3,1.0,0,68,2.0,horn2
268.0,269.5,49,C#3,1.5,0,68,3.0,horn2
275.0,276.0,53,F3,1.0,0,70,2.0,horn2
276.0,277.5,52,E3,1.5,0,70,3.0,horn2
280.0,281.5,52,E3,1.5,0,71,3.0,horn2
284.0,285.5,53,F3,1.5,0,72,3.0,horn2
286.0,287.5,69,A4,1.5,0,73,1.0,horn2
288.0,289.5,53,F3,1.5,0,73,3.0,horn2
290.0,291.5,69,A4,1.5,0,74,1.0,horn2
292.0,293.5,69,A4,1.5,0,74,3.0,horn2
294.0,295.5,69,A4,1.5,0,75,1.0,horn2
296.0,297.5,67,G4,1.5,0,75,3.0,horn2
298.0,299.5,67,G4,1.5,0,76,1.0,horn2
354.0,356.0,54,F#3,2.0,0,90,1.0,horn2
356.0,358.0,53,F3,2.0,0,90,3.0,horn2
358.0,358.5,54,F#3,0.5,0,91,1.0,horn2
358.5,359.5,54,F#3,1.0,0,91,1.5,horn2
359.5,362.0,54,F#3,2.5,0,91,2.5,horn2
362.0,364.0,54,F#3,2.0,0,92,1.0,horn2
364.0,366.0,55,G3,2.0,0,92,3.0,horn2
366.0,366.5,54,F#3,0.5,0,93,1.0,horn2
366.5,367.5,54,F#3,1.0,0,93,1.5,horn2
367.5,368.0,54,F#3,0.5,0,93,2.5,horn2
368.0,370.0,60,C4,2.0,0,93,3.0,horn2
370.0,372.0,59,B3,2.0,0,94,1.0,horn2
372.0,374.0,58,B-3,2.0,0,94,3.0,horn2
374.0,376.0,57,A3,2.0,0,95,1.0,horn2
376.0,378.0,54,F#3,2.0,0,95,3.0,horn2
378.0,380.0,54,F#3,2.0,0,96,1.0,horn2
380.0,382.0,55,G3,2.0,0,96,3.0,horn2
382.0,382.5,54,F#3,0.5,0,97,1.0,horn2
382.5,383.5,54,F#3,1.0,0,97,1.5,horn2
383.5,384.0,54,F#3,0.5,0,97,2.5,horn2
384.0,386.0,60,C4,2.0,0,97,3.0,horn2
386.0,388.0,59,B3,2.0,0,98,1.0,horn2
388.0,390.0,58,B-3,2.0,0,98,3.0,horn2
390.0,392.0,57,A3,2.0,0,99,1.0,horn2
392.0,394.0,54,F#3,2.0,0,99,3.0,horn2
394.0,396.0,54,F#3,2.0,0,100,1.0,horn2
396.0,398.0,55,G3,2.0,0,100,3.0,horn2
398.0,398.5,54,F#3,0.5,0,101,1.0,horn2
