onset,offset,role
55,59.0,mel
91,98.0,harm
99,107.0,rhythm+harm
109,112.0,mel
212,228.0,mel+harm
243,292.0,mel+harm
292,315.0,harm
364,395.0,harm
418,423.0,mel
448,455.0,mel
480,502.0,harm
514,564.0,rhythm
564,595.0,harm
608,639.0,harm
640,678.0,rhythm+harm
695,701.0,rhythm+harm
701,707.0,rhythm
715,718.0,mel
717,723.0,rhythm
727,733.0,rhythm+harm
816,818.0,harm
833,840.0,rhythm+harm
850,878.0,harm
878,889.0,rhythm
948,1015.0,mel+harm
1015,1030.0,rhythm+harm
1033,1037.0,harm
1037,1060.0,mel+harm
1075,1102.0,rhythm+harm
1118,1126.0,rhythm+harm
1126,1133.0,mel+harm
1133,1182.0,rhythm+harm
1219,1244.0,rhythm+harm
1244,1264.0,mel+harm
1264,1295.0,rhythm+harm
1296,1336.0,mel+harm
1354,1378.5,rhythm+harm
