onset,offset,role
90,107.0,mel
172,181.0,mel
190,197.0,mel
200,205.0,mel
208,216.0,mel
220,225.5,harm
260,300.0,mel+harm
398,430.0,mel
447,514.0,mel
514,564.0,rhythm
638,639.0,mel
653,655.0,mel+harm
669,677.0,mel+harm
685,691.0,rhythm
701,707.0,rhythm
711,713.0,mel
717,723.0,rhythm
737,745.0,harm
745,750.0,harm
750,788.0,rhythm
816,818.0,harm
849,866.0,mel+harm
949,1061.0,mel+harm
1061,1091.0,rhythm
1133,1183.0,mel+harm
1216,1265.0,mel+harm
1288,1292.0,mel+harm
1299,1336.0,rhythm+harm
1354,1379.0,mel
