onset,offset,role
152,156,rhythm+harm
200,213,harm
232,245,rhythm+harm
266,270,harm
274,286,mel
286,288,harm
288,290,mel
290,304,harm
354,399,harm
514,566,rhythm
566,608,harm
638,639,harm
653,655,mel+harm
656,671,rhythm+harm
672,677,mel+harm
696,702,rhythm+harm
710,711,harm
728,734,rhythm+harm
753,786,harm
817,832,mel+harm
833,840,rhythm+harm
862,880,harm
880,898,rhythm
910,962,rhythm
962,966,harm
966,973,rhythm
973,990,rhythm+harm
990,1002,mel+harm
1002,1029,rhythm+harm
1029,1066,rhythm
1070,1075,harm
1075,1198,rhythm+harm
1198,1214,rhythm
1218,1311,rhythm+harm
1378,1394,mel
