onset,offset,role
264,278.0,mel+harm
278,284.0,mel
286,330.0,harm
414,430.0,harm
449,464.0,harm
638,639.0,harm
654,655.0,mel
670,678.0,rhythm+harm
690,694.0,rhythm+harm
706,710.0,rhythm+harm
722,734.0,rhythm+harm
753,778.0,harm
778,786.0,mel
801,818.0,mel
817,832.0,mel+harm
832,850.0,rhythm+harm
910,940.0,rhythm
940,966.0,harm
966,973.0,rhythm+harm
973,975.5,mel+harm
977,978.0,rhythm+harm
978,979.5,mel+harm
980,990.0,rhythm+harm
1034,1045.0,harm
1063,1075.0,harm
1238,1272.0,rhythm+harm
1338,1354.0,mel
1394,1410.5,mel
