onset,offset,role
265,303.5,harm
313,330.0,harm
447,453.0,harm
532,534.0,harm
536,538.0,harm
540,542.0,harm
544,546.0,harm
548,550.0,harm
638,642.0,harm
654,658.0,harm
670,678.0,rhythm+harm
692,694.0,rhythm+harm
709,711.0,rhythm+harm
724,726.0,rhythm+harm
753,786.0,harm
817,831.0,harm
833,850.0,rhythm
850,854.0,harm
866,870.0,harm
966,990.0,rhythm+harm
1033,1045.0,rhythm
1045,1063.0,rhythm+harm
1063,1090.0,rhythm
1117,1137.0,rhythm+harm
1137,1150.0,mel+harm
1177,1198.0,mel+harm
1246,1282.0,rhythm
1398,1411.0,rhythm
