onset,offset,role
15,21.0,harm
39,52.0,harm
56,92.0,mel
107,109.0,mel
117,150.0,rhythm+harm
156,164.0,mel
164,170.0,rhythm+harm
170,174.0,mel+harm
173,181.0,rhythm
180,214.0,rhythm+harm
214,230.0,rhythm
229,246.0,rhythm+harm
246,250.0,rhythm
250,262.0,mel+harm
262,266.0,rhythm+harm
270,276.0,rhythm+harm
276,278.0,harm
278,290.0,mel+harm
290,294.0,rhythm+harm
294,312.0,harm
338,350.0,mel
368,391.0,harm
396,476.0,rhythm+harm
474,494.0,rhythm
494,502.0,rhythm+harm
516,564.0,mel+rhythm
564,608.0,mel
610,636.0,harm
638,639.0,harm
640,678.0,rhythm+harm
678,741.0,mel+harm
741,749.0,mel+harm
749,791.0,rhythm
815,817.0,harm
823,826.0,mel+harm
830,870.0,mel+harm
877,911.0,mel+harm
917,920.0,mel+harm
925,928.0,mel+harm
933,940.0,mel+harm
954,989.0,mel+harm
989,1037.0,rhythm+harm
1037,1045.0,mel+harm
1045,1075.0,rhythm
1075,1077.5,rhythm+harm
1090,1110.0,rhythm+harm
1110,1198.0,mel+harm
1217,1244.0,rhythm
1244,1298.0,mel+harm
1335,1382.0,rhythm
