onset,offset,role
148,158.0,mel
164,177.0,rhythm+harm
177,181.0,harm
181,186.0,rhythm+harm
186,193.0,rhythm
193,197.0,harm
197,201.0,rhythm+harm
204,209.0,mel+harm
228,236.0,rhythm
236,241.0,rhythm
262,266.0,mel+harm
270,286.0,mel+harm
286,312.0,rhythm+harm
380,383.0,harm
396,443.0,rhythm+harm
443,444.0,mel+rhythm+harm
444,504.0,rhythm+harm
516,564.0,mel+rhythm
564,580.0,mel
638,639.0,harm
640,678.0,rhythm+harm
694,711.0,mel+harm
726,745.5,mel+harm
749,788.0,rhythm
811,817.0,harm
823,826.0,mel+harm
830,878.0,mel+harm
941,992.0,mel+harm
989,1014.0,rhythm+harm
1013,1030.0,mel+harm
1029,1040.0,rhythm+harm
1037,1060.0,mel+harm
1061,1075.0,rhythm
1075,1078.5,rhythm+harm
1078,1091.0,rhythm
1091,1102.0,rhythm+harm
1102,1198.0,mel+harm
1216,1298.0,mel+harm
1335,1383.0,rhythm
