onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
160.0,162.5,45,A2,2.5,0,33,1.0,basstrombone
162.5,163.0,45,A2,0.5,0,33,3.5,basstrombone
163.0,164.0,45,A2,1.0,0,33,4.0,basstrombone
164.0,165.0,49,C#3,1.0,0,33,5.0,basstrombone
165.0,167.5,45,A2,2.5,0,34,1.0,basstrombone
167.5,168.0,45,A2,0.5,0,34,3.5,basstrombone
168.0,169.0,45,A2,1.0,0,34,4.0,basstrombone
169.0,170.0,50,D3,1.0,0,34,5.0,basstrombone
170.0,172.5,45,A2,2.5,0,35,1.0,basstrombone
172.5,173.0,45,A2,0.5,0,35,3.5,basstrombone
173.0,174.0,45,A2,1.0,0,35,4.0,basstrombone
174.0,175.0,50,D3,1.0,0,35,5.0,basstrombone
175.0,177.5,45,A2,2.5,0,36,1.0,basstrombone
177.5,178.0,45,A2,0.5,0,36,3.5,basstrombone
178.0,179.0,45,A2,1.0,0,36,4.0,basstrombone
179.0,180.0,49,C#3,1.0,0,36,5.0,basstrombone
180.0,182.5,45,A2,2.5,0,37,1.0,basstrombone
182.5,183.0,45,A2,0.5,0,37,3.5,basstrombone
183.0,184.0,45,A2,1.0,0,37,4.0,basstrombone
184.0,185.0,49,C#3,1.0,0,37,5.0,basstrombone
185.0,187.5,45,A2,2.5,0,38,1.0,basstrombone
187.5,188.0,45,A2,0.5,0,38,3.5,basstrombone
188.0,189.0,45,A2,1.0,0,38,4.0,basstrombone
189.0,190.0,47,B2,1.0,0,38,5.0,basstrombone
190.0,192.5,49,C#3,2.5,0,39,1.0,basstrombone
192.5,193.0,49,C#3,0.5,0,39,3.5,basstrombone
193.0,194.0,49,C#3,1.0,0,39,4.0,basstrombone
194.0,195.0,54,F#3,1.0,0,39,5.0,basstrombone
195.0,197.0,49,C#3,2.0,0,40,1.0,basstrombone
197.0,197.5,42,F#2,0.5,0,40,3.0,basstrombone
330.0,331.0,52,E3,1.0,0,67,1.0,basstrombone
331.0,332.0,54,F#3,1.0,0,67,2.0,basstrombone
332.0,333.0,56,G#3,1.0,0,67,3.0,basstrombone
333.0,334.0,57,A3,1.0,0,67,4.0,basstrombone
334.0,335.0,59,B3,1.0,0,67,5.0,basstrombone
335.0,336.0,61,C#4,1.0,0,68,1.0,basstrombone
336.0,337.0,57,A3,1.0,0,68,2.0,basstrombone
337.0,339.5,59,B3,2.5,0,68,3.0,basstrombone
339.5,340.0,59,B3,0.5,0,68,5.5,basstrombone
340.0,340.5,61,C#4,0.5,0,69,1.0,basstrombone
560.0,562.0,55,G3,2.0,0,113,1.0,basstrombone
562.0,565.0,55,G3,3.0,0,113,3.0,basstrombone
565.0,567.5,54,F#3,2.5,0,114,1.0,basstrombone
570.0,572.0,52,E3,2.0,0,115,1.0,basstrombone
572.0,575.0,52,E3,3.0,0,115,3.0,basstrombone
575.0,577.5,54,F#3,2.5,0,116,1.0,basstrombone
580.0,582.0,55,G3,2.0,0,117,1.0,basstrombone
582.0,585.0,55,G3,3.0,0,117,3.0,basstrombone
585.0,587.5,54,F#3,2.5,0,118,1.0,basstrombone
590.0,592.0,52,E3,2.0,0,119,1.0,basstrombone
592.0,595.0,52,E3,3.0,0,119,3.0,basstrombone
595.0,597.5,54,F#3,2.5,0,120,1.0,basstrombone
600.0,602.5,52,E3,2.5,0,121,1.0,basstrombone
620.0,622.5,52,E3,2.5,0,125,1.0,basstrombone
715.0,717.5,45,A2,2.5,0,144,1.0,basstrombone
717.5,718.0,45,A2,0.5,0,144,3.5,basstrombone
718.0,719.0,45,A2,1.0,0,144,4.0,basstrombone
719.0,720.0,49,C#3,1.0,0,144,5.0,basstrombone
720.0,722.5,45,A2,2.5,0,145,1.0,basstrombone
722.5,723.0,45,A2,0.5,0,145,3.5,basstrombone
723.0,724.0,45,A2,1.0,0,145,4.0,basstrombone
724.0,725.0,50,D3,1.0,0,145,5.0,basstrombone
725.0,727.5,45,A2,2.5,0,146,1.0,basstrombone
727.5,728.0,45,A2,0.5,0,146,3.5,basstrombone
728.0,729.0,45,A2,1.0,0,146,4.0,basstrombone
729.0,730.0,50,D3,1.0,0,146,5.0,basstrombone
730.0,732.5,45,A2,2.5,0,147,1.0,basstrombone
732.5,733.0,45,A2,0.5,0,147,3.5,basstrombone
733.0,734.0,45,A2,1.0,0,147,4.0,basstrombone
734.0,735.0,49,C#3,1.0,0,147,5.0,basstrombone
735.0,737.5,45,A2,2.5,0,148,1.0,basstrombone
737.5,738.0,45,A2,0.5,0,148,3.5,basstrombone
738.0,739.0,45,A2,1.0,0,148,4.0,basstrombone
739.0,740.0,49,C#3,1.0,0,148,5.0,basstrombone
740.0,742.5,45,A2,2.5,0,149,1.0,basstrombone
742.5,743.0,45,A2,0.5,0,149,3.5,basstrombone
743.0,744.0,45,A2,1.0,0,149,4.0,basstrombone
744.0,745.0,47,B2,1.0,0,149,5.0,basstrombone
745.0,747.5,49,C#3,2.5,0,150,1.0,basstrombone
747.5,748.0,49,C#3,0.5,0,150,3.5,basstrombone
748.0,749.0,49,C#3,1.0,0,150,4.0,basstrombone
749.0,750.0,54,F#3,1.0,0,150,5.0,basstrombone
750.0,752.0,49,C#3,2.0,0,151,1.0,basstrombone
752.0,752.5,42,F#2,0.5,0,151,3.0,basstrombone
885.0,886.0,52,E3,1.0,0,178,1.0,basstrombone
886.0,887.0,54,F#3,1.0,0,178,2.0,basstrombone
887.0,888.0,56,G#3,1.0,0,178,3.0,basstrombone
888.0,889.0,57,A3,1.0,0,178,4.0,basstrombone
889.0,890.0,59,B3,1.0,0,178,5.0,basstrombone
890.0,891.0,61,C#4,1.0,0,179,1.0,basstrombone
891.0,892.0,57,A3,1.0,0,179,2.0,basstrombone
892.0,894.5,59,B3,2.5,0,179,3.0,basstrombone
894.5,895.0,59,B3,0.5,0,179,5.5,basstrombone
895.0,895.5,61,C#4,0.5,0,180,1.0,basstrombone
