onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
272.0,272.5,0,unpitched,0.5,0,69,1.0,bassdrum
880.0,880.3333333333334,0,unpitched,0.3333333333333333,0,221,1.0,bassdrum
880.3333333333334,880.6666666666667,0,unpitched,0.3333333333333333,0,221,1.3333333333333333,bassdrum
950.0,950.5,0,unpitched,0.5,0,238,3.0,bassdrum
950.5,951.0,0,unpitched,0.5,0,238,3.5,bassdrum
1094.0,1096.0,0,unpitched,2.0,0,274,3.0,bassdrum
1096.0,1100.0,0,unpitched,4.0,0,275,1.0,bassdrum
1100.0,1104.0,0,unpitched,4.0,0,276,1.0,bassdrum
1104.0,1108.0,0,unpitched,4.0,0,277,1.0,bassdrum
1108.0,1112.0,0,unpitched,4.0,0,278,1.0,bassdrum
1112.0,1116.0,0,unpitched,4.0,0,279,1.0,bassdrum
1116.0,1120.0,0,unpitched,4.0,0,280,1.0,bassdrum
1120.0,1124.0,0,unpitched,4.0,0,281,1.0,bassdrum
1124.0,1126.0,0,unpitched,2.0,0,282,1.0,bassdrum
1126.0,1126.5,0,unpitched,0.5,0,282,3.0,bassdrum
1166.0,1166.5,0,unpitched,0.5,0,292,3.0,bassdrum
1166.5,1167.0,0,unpitched,0.5,0,292,3.5,bassdrum
1248.0,1248.5,0,unpitched,0.5,0,313,1.0,bassdrum
1292.0,1292.5,0,unpitched,0.5,0,324,1.0,bassdrum
1348.0,1348.5,0,unpitched,0.5,0,338,1.0,bassdrum
1349.5,1350.0,0,unpitched,0.5,0,338,2.5,bassdrum
1350.0,1350.5,0,unpitched,0.5,0,338,3.0,bassdrum
1351.5,1352.0,0,unpitched,0.5,0,338,4.5,bassdrum
1352.0,1352.5,0,unpitched,0.5,0,339,1.0,bassdrum
1353.5,1354.0,0,unpitched,0.5,0,339,2.5,bassdrum
1354.0,1354.5,0,unpitched,0.5,0,339,3.0,bassdrum
1355.5,1356.0,0,unpitched,0.5,0,339,4.5,bassdrum
1356.0,1356.5,0,unpitched,0.5,0,340,1.0,bassdrum
1364.0,1364.5,0,unpitched,0.5,0,342,1.0,bassdrum
1365.0,1365.5,0,unpitched,0.5,0,342,2.0,bassdrum
1367.0,1367.5,0,unpitched,0.5,0,342,4.0,bassdrum
1369.0,1369.5,0,unpitched,0.5,0,343,2.0,bassdrum
1371.0,1371.5,0,unpitched,0.5,0,343,4.0,bassdrum
1372.0,1372.5,0,unpitched,0.5,0,344,1.0,bassdrum
1373.0,1373.5,0,unpitched,0.5,0,344,2.0,bassdrum
1374.0,1374.5,0,unpitched,0.5,0,344,3.0,bassdrum
1375.0,1375.5,0,unpitched,0.5,0,344,4.0,bassdrum
1376.0,1376.5,0,unpitched,0.5,0,345,1.0,bassdrum
