onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
12.0,14.0,43,G2,2.0,0,4,1.0,doublebass1
28.0,30.0,43,G2,2.0,0,8,1.0,doublebass1
48.0,54.333333333333336,48,C3,6.333333333333333,0,13,1.0,doublebass1
56.0,62.333333333333336,48,C3,6.333333333333333,0,15,1.0,doublebass1
74.0,74.33333333333333,47,B2,0.3333333333333333,0,19,3.0,doublebass1
76.0,76.33333333333333,47,B2,0.3333333333333333,0,20,1.0,doublebass1
80.0,80.33333333333333,47,B2,0.3333333333333333,0,21,1.0,doublebass1
82.0,82.33333333333333,47,B2,0.3333333333333333,0,21,3.0,doublebass1
84.0,84.33333333333333,47,B2,0.3333333333333333,0,22,1.0,doublebass1
86.0,86.33333333333333,47,B2,0.3333333333333333,0,22,3.0,doublebass1
88.0,88.33333333333333,47,B2,0.3333333333333333,0,23,1.0,doublebass1
90.0,90.33333333333331,47,B2,0.3333333333333333,0,23,3.0,doublebass1
92.0,92.33333333333331,47,B2,0.3333333333333333,0,24,1.0,doublebass1
94.0,94.33333333333331,47,B2,0.3333333333333333,0,24,3.0,doublebass1
96.0,96.33333333333331,47,B2,0.3333333333333333,0,25,1.0,doublebass1
98.0,98.33333333333331,47,B2,0.3333333333333333,0,25,3.0,doublebass1
100.0,100.33333333333331,47,B2,0.3333333333333333,0,26,1.0,doublebass1
102.0,102.33333333333331,47,B2,0.3333333333333333,0,26,3.0,doublebass1
103.0,103.33333333333331,46,B-2,0.3333333333333333,0,26,4.0,doublebass1
104.0,104.33333333333331,45,A2,0.3333333333333333,0,27,1.0,doublebass1
106.0,106.33333333333331,45,A2,0.3333333333333333,0,27,3.0,doublebass1
108.0,108.33333333333331,45,A2,0.3333333333333333,0,28,1.0,doublebass1
110.0,110.33333333333331,45,A2,0.3333333333333333,0,28,3.0,doublebass1
112.0,112.33333333333331,45,A2,0.3333333333333333,0,29,1.0,doublebass1
114.0,114.33333333333331,45,A2,0.3333333333333333,0,29,3.0,doublebass1
116.0,116.33333333333331,45,A2,0.3333333333333333,0,30,1.0,doublebass1
118.0,118.33333333333331,45,A2,0.3333333333333333,0,30,3.0,doublebass1
120.0,120.33333333333331,47,B2,0.3333333333333333,0,31,1.0,doublebass1
121.0,121.33333333333331,49,C#3,0.3333333333333333,0,31,2.0,doublebass1
121.66666666666669,122.0,49,C#3,0.3333333333333333,0,31,2.6666666666666665,doublebass1
122.0,122.33333333333331,47,B2,0.3333333333333333,0,31,3.0,doublebass1
123.0,123.33333333333331,46,B-2,0.3333333333333333,0,31,4.0,doublebass1
124.0,124.33333333333331,47,B2,0.3333333333333333,0,32,1.0,doublebass1
125.0,125.33333333333331,49,C#3,0.3333333333333333,0,32,2.0,doublebass1
125.66666666666669,126.0,49,C#3,0.3333333333333333,0,32,2.6666666666666665,doublebass1
126.0,126.33333333333331,47,B2,0.3333333333333333,0,32,3.0,doublebass1
127.0,127.33333333333331,46,B-2,0.3333333333333333,0,32,4.0,doublebass1
