onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
8.5,9.0,66,F#4,0.5,0,3,1.5,oboe1
9.0,9.5,72,C5,0.5,0,3,2.0,oboe1
9.5,10.0,66,F#4,0.5,0,3,2.5,oboe1
10.0,10.5,72,C5,0.5,0,3,3.0,oboe1
10.5,11.0,67,G4,0.5,0,3,3.5,oboe1
11.0,11.5,72,C5,0.5,0,3,4.0,oboe1
11.5,12.0,69,A4,0.5,0,3,4.5,oboe1
24.5,25.0,63,D#4,0.5,0,7,1.5,oboe1
25.0,25.5,69,A4,0.5,0,7,2.0,oboe1
25.5,26.0,63,D#4,0.5,0,7,2.5,oboe1
26.0,26.5,69,A4,0.5,0,7,3.0,oboe1
26.5,27.0,64,E4,0.5,0,7,3.5,oboe1
27.0,27.5,69,A4,0.5,0,7,4.0,oboe1
27.5,28.0,66,F#4,0.5,0,7,4.5,oboe1
32.0,32.5,64,E4,0.5,0,9,1.0,oboe1
33.0,33.5,59,B3,0.5,0,9,2.0,oboe1
33.75,34.0,59,B3,0.25,0,9,2.75,oboe1
34.0,34.5,64,E4,0.5,0,9,3.0,oboe1
35.0,35.5,59,B3,0.5,0,9,4.0,oboe1
36.0,36.5,64,E4,0.5,0,10,1.0,oboe1
36.5,38.5,69,A4,2.0,0,10,1.5,oboe1
40.0,40.5,76,E5,0.5,0,11,1.0,oboe1
41.0,41.5,71,B4,0.5,0,11,2.0,oboe1
41.75,42.0,71,B4,0.25,0,11,2.75,oboe1
42.0,42.5,76,E5,0.5,0,11,3.0,oboe1
43.0,43.5,71,B4,0.5,0,11,4.0,oboe1
44.0,44.5,76,E5,0.5,0,12,1.0,oboe1
44.5,46.5,81,A5,2.0,0,12,1.5,oboe1
72.0,76.0,83,B5,4.0,0,19,1.0,oboe1
76.0,76.5,83,B5,0.5,0,20,1.0,oboe1
77.0,77.5,76,E5,0.5,0,20,2.0,oboe1
77.75,78.0,76,E5,0.25,0,20,2.75,oboe1
78.0,78.5,83,B5,0.5,0,20,3.0,oboe1
79.0,79.5,76,E5,0.5,0,20,4.0,oboe1
80.0,80.5,71,B4,0.5,0,21,1.0,oboe1
104.0,108.0,74,D5,4.0,0,27,1.0,oboe1
108.0,108.5,74,D5,0.5,0,28,1.0,oboe1
109.0,109.5,74,D5,0.5,0,28,2.0,oboe1
109.75,110.0,74,D5,0.25,0,28,2.75,oboe1
110.0,110.5,75,D#5,0.5,0,28,3.0,oboe1
111.0,111.5,76,E5,0.5,0,28,4.0,oboe1
112.0,112.5,78,F#5,0.5,0,29,1.0,oboe1
183.0,183.33333333333331,74,D5,0.3333333333333333,0,46,4.0,oboe1
183.33333333333331,183.66666666666669,74,D5,0.3333333333333333,0,46,4.333333333333333,oboe1
