onset,offset,role
8,16.0,harm
24,32.0,harm
121,144.0,harm
152,156.0,rhythm
156,158.0,harm
168,176.0,rhythm
183,192.0,mel
192,197.0,rhythm
198,208.0,mel
208,240.0,rhythm
240,260.0,mel+rhythm
260,273.0,harm
273,281.0,rhythm
314,320.0,harm
327,343.0,rhythm
343,352.0,harm
352,356.0,rhythm+harm
356,369.0,harm
371,380.0,mel+rhythm
380,384.0,harm
406,415.5,harm
432,446.0,mel
482,488.0,harm
495,511.0,rhythm
511,520.0,harm
520,527.0,mel+rhythm
526,536.0,harm
536,543.0,mel+rhythm
543,552.0,harm
560,568.0,harm
576,584.0,harm
672,680.0,mel
680,696.0,rhythm
704,708.0,rhythm
708,712.0,mel
720,733.0,rhythm
738,741.0,mel
742,753.0,harm
754,760.5,mel
762,768.0,rhythm
768,772.0,mel
772,776.0,harm
780,812.0,rhythm
812,833.0,mel+rhythm
836,844.0,rhythm
844,862.0,mel+rhythm
862,881.0,rhythm+harm
884,912.0,mel
912,927.0,harm
927,928.0,mel+rhythm
928,995.0,harm
995,1016.0,mel+rhythm
1022,1064.0,rhythm
1068,1076.0,harm
1076,1084.0,mel
1084,1092.0,rhythm
1092,1095.0,mel
1094,1127.0,rhythm
1127,1168.0,harm
1168,1183.0,rhythm
1183,1276.0,harm
1276,1284.0,mel+rhythm
1284,1292.0,harm
1292,1301.0,rhythm+harm
1301,1316.0,harm
1316,1348.0,rhythm
1348,1364.0,mel
1364,1388.0,rhythm
