onset,offset,role
48,56,mel+rhythm
190,201,rhythm
212,216,mel+rhythm
224,228,mel+rhythm
244,269,mel+rhythm
272,273,harm
348,352,harm
512,520,harm
528,536,harm
600,608,mel+rhythm
767,776,harm
816,820,rhythm+harm
820,821,mel+rhythm
822,837,rhythm
844,845,harm
848,860,mel+rhythm
860,881,rhythm+harm
912,1001,harm
1038,1048,rhythm
1064,1072,harm
1072,1096,harm
1096,1112,mel+rhythm
1112,1120,rhythm
1120,1260,harm
1268,1292,mel+rhythm
1292,1294,harm
1304,1340,harm
1340,1357,rhythm
1356,1364,mel
1364,1388,rhythm
