onset,offset,role
12,16,harm
28,32,harm
48,56,harm
71,76,harm
76,160,rhythm
160,185,rhythm
190,201,mel
206,208,mel
208,240,rhythm
287,305,rhythm
306,309,harm
315,316,rhythm
316,320,harm
326,344,rhythm
344,352,harm
352,360,rhythm+harm
360,369,harm
371,380,mel+rhythm
380,383,harm
390,432,rhythm
442,446,harm
455,473,rhythm
473,484,rhythm
473,484,harm
484,488,harm
494,512,rhythm
512,520,harm
520,527,mel+rhythm
528,536,harm
536,543,mel+rhythm
544,551,harm
580,584,harm
600,608,rhythm
622,672,rhythm
672,692,rhythm+harm
696,713,harm
716,737,rhythm
742,768,harm
768,820,rhythm
820,833,harm
836,881,rhythm
881,894,mel
912,1001,harm
1001,1015,mel+rhythm
1022,1064,rhythm
1088,1094,harm
1094,1127,rhythm
1127,1259,harm
1259,1292,mel+rhythm
1292,1301,rhythm+harm
1301,1316,harm
1316,1356,rhythm
1356,1364,mel
1364,1388,rhythm
