onset,offset,role
8,12,harm
24,28,harm
32,36,mel+rhythm
36,48,mel+rhythm
72,81,mel+rhythm
88,97,rhythm+harm
104,113,rhythm+harm
183,204,mel
216,228,mel+rhythm
232,240,mel+rhythm
240,273,harm
315,320,harm
344,351,harm
351,361,mel+rhythm
369,384,mel+rhythm
432,448,mel
482,488,harm
512,552,harm
560,564,harm
576,580,harm
584,600,mel+rhythm
624,629,harm
629,649,mel+rhythm
656,665,rhythm+harm
735,740,mel
768,776,harm
792,845,mel+rhythm
846,851,harm
852,881,mel+rhythm
884,912,mel
912,928,rhythm+harm
928,952,harm
952,968,rhythm+harm
968,1001,harm
1001,1016,mel+rhythm
1024,1064,harm
1072,1088,mel
1088,1096,harm
1100,1120,mel+rhythm
1120,1127,harm
1128,1144,rhythm+harm
1144,1168,harm
1168,1184,rhythm+harm
1184,1236,harm
1236,1244,mel+rhythm
1244,1254,rhythm+harm
1254,1260,mel
1270,1292,harm
1292,1301,rhythm+harm
1301,1333,harm
1335,1348,rhythm
1348,1376,harm
