onset,offset,role
80,89.0,rhythm+harm
96,105.0,rhythm+harm
118,121.0,rhythm+harm
178,187.0,harm
195,200.0,harm
216,224.5,mel+rhythm
232,240.5,mel+rhythm
244,273.0,mel+rhythm
359,364.0,harm
369,384.0,rhythm+harm
520,528.0,harm
536,552.0,harm
632,641.0,rhythm+harm
648,657.0,rhythm+harm
670,673.0,rhythm
731,736.0,rhythm
747,752.0,harm
768,776.0,harm
792,804.0,mel+rhythm
804,812.0,harm
812,881.0,mel+rhythm
912,916.0,harm
916,920.0,rhythm+harm
920,924.0,harm
924,928.0,rhythm+harm
928,952.0,harm
952,968.0,rhythm+harm
968,1001.0,harm
1001,1016.0,rhythm+harm
1016,1022.0,harm
1032,1038.0,mel
1048,1054.0,mel
1064,1072.0,mel
1072,1084.0,mel
1084,1088.0,harm
1088,1092.0,mel
1092,1096.0,harm
1100,1120.0,mel+rhythm
1120,1127.0,harm
1128,1144.0,rhythm+harm
1144,1168.0,harm
1168,1184.0,rhythm+harm
1184,1244.0,harm
1244,1260.0,rhythm+harm
1276,1293.0,mel
1292,1301.0,rhythm+harm
1301,1316.0,harm
1316,1329.0,mel+rhythm
1332,1340.0,harm
1340,1348.0,harm
1348,1360.0,harm
1360,1376.0,mel
