onset,offset,role
0,32,harm
32,36,rhythm
36,56,mel+rhythm
66,69,harm
72,81,mel+rhythm
88,97,mel+rhythm
104,113,mel+rhythm
114,120,rhythm
120,128,harm
140,160,mel
160,168,rhythm
174,197,mel
197,201,rhythm
202,205,mel
220,224,rhythm
236,273,rhythm
306,309,rhythm
315,320,harm
320,369,mel+rhythm
371,380,mel+rhythm
380,383,harm
383,390,mel
399,422,mel
430,448,mel
474,477,rhythm
483,488,harm
489,519,mel+rhythm
518,528,rhythm
528,551,mel+rhythm
551,560,rhythm
564,568,harm
568,576,rhythm
580,584,harm
584,608,rhythm
618,621,harm
624,665,mel+rhythm
666,676,rhythm
676,678,harm
692,712,mel
712,721,rhythm
726,728,harm
728,757,mel
760,768,rhythm
768,776,mel
804,817,harm
820,881,mel+rhythm
881,912,mel
912,1015,mel+rhythm
1015,1096,mel
1127,1244,mel+rhythm
1244,1259,mel
1268,1292,rhythm
1292,1329,mel+rhythm
1331,1348,rhythm
1348,1388,mel
