onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
198.0,198.5,59,B3,0.5,0,67,1.0,trumpet2
201.0,202.0,68,G#4,1.0,0,68,1.0,trumpet2
202.0,203.0,66,F#4,1.0,0,68,2.0,trumpet2
203.0,204.0,64,E4,1.0,0,68,3.0,trumpet2
204.0,204.5,62,D4,0.5,0,69,1.0,trumpet2
210.66666666666663,211.3333333333333,66,F#4,0.6666666666666666,0,71,1.6666666666666667,trumpet2
211.66666666666663,212.3333333333333,66,F#4,0.6666666666666666,0,71,2.6666666666666665,trumpet2
212.66666666666663,213.0,66,F#4,0.3333333333333333,0,71,3.6666666666666665,trumpet2
216.0,216.3333333333333,72,C5,0.3333333333333333,0,73,1.0,trumpet2
216.3333333333333,216.66666666666669,72,C5,0.3333333333333333,0,73,1.3333333333333333,trumpet2
216.66666666666663,217.3333333333333,72,C5,0.6666666666666666,0,73,1.6666666666666667,trumpet2
217.3333333333333,217.66666666666669,72,C5,0.3333333333333333,0,73,2.333333333333333,trumpet2
217.66666666666663,218.3333333333333,72,C5,0.6666666666666666,0,73,2.6666666666666665,trumpet2
218.3333333333333,218.66666666666669,72,C5,0.3333333333333333,0,73,3.333333333333333,trumpet2
218.66666666666663,219.0,72,C5,0.3333333333333333,0,73,3.6666666666666665,trumpet2
219.0,219.5,72,C5,0.5,0,74,1.0,trumpet2
222.0,222.3333333333333,67,G4,0.3333333333333333,0,75,1.0,trumpet2
222.3333333333333,222.66666666666669,67,G4,0.3333333333333333,0,75,1.3333333333333333,trumpet2
222.66666666666663,223.3333333333333,67,G4,0.6666666666666666,0,75,1.6666666666666667,trumpet2
223.3333333333333,223.66666666666669,67,G4,0.3333333333333333,0,75,2.333333333333333,trumpet2
223.66666666666663,224.3333333333333,67,G4,0.6666666666666666,0,75,2.6666666666666665,trumpet2
224.3333333333333,224.66666666666669,67,G4,0.3333333333333333,0,75,3.333333333333333,trumpet2
224.66666666666663,225.0,67,G4,0.3333333333333333,0,75,3.6666666666666665,trumpet2
225.0,225.5,67,G4,0.5,0,76,1.0,trumpet2
228.0,228.25,72,C5,0.25,0,77,1.0,trumpet2
230.0,230.25,72,C5,0.25,0,77,3.0,trumpet2
232.0,232.25,72,C5,0.25,0,78,2.0,trumpet2
234.0,234.25,72,C5,0.25,0,79,1.0,trumpet2
240.5,241.0,72,C5,0.5,0,81,1.5,trumpet2
333.0,335.0,64,E4,2.0,0,112,1.0,trumpet2
335.0,335.5,63,D#4,0.5,0,112,3.0,trumpet2
335.5,336.0,64,E4,0.5,0,112,3.5,trumpet2
336.0,337.0,64,E4,1.0,0,113,1.0,trumpet2
337.0,339.0,67,G4,2.0,0,113,2.0,trumpet2
339.0,340.0,64,E4,1.0,0,114,1.0,trumpet2
340.0,341.0,69,A4,1.0,0,114,2.0,trumpet2
341.0,342.0,64,E4,1.0,0,114,3.0,trumpet2
342.0,343.0,69,A4,1.0,0,115,1.0,trumpet2
343.0,344.0,68,G#4,1.0,0,115,2.0,trumpet2
344.0,345.0,71,B4,1.0,0,115,3.0,trumpet2
345.0,348.0,72,C5,3.0,0,116,1.0,trumpet2
348.0,349.0,73,C#5,1.0,0,117,1.0,trumpet2
349.0,350.0,74,D5,1.0,0,117,2.0,trumpet2
350.0,351.0,67,G4,1.0,0,117,3.0,trumpet2
351.0,354.0,74,D5,3.0,0,118,1.0,trumpet2
354.0,355.0,70,B-4,1.0,0,119,1.0,trumpet2
355.0,356.0,69,A4,1.0,0,119,2.0,trumpet2
356.0,357.0,67,G4,1.0,0,119,3.0,trumpet2
357.0,360.0,66,F#4,3.0,0,120,1.0,trumpet2
360.0,361.0,67,G4,1.0,0,121,1.0,trumpet2
361.0,362.0,66,F#4,1.0,0,121,2.0,trumpet2
362.0,363.0,64,E4,1.0,0,121,3.0,trumpet2
375.0,375.5,62,D4,0.5,0,126,1.0,trumpet2
